code,stint,compound ,raceid 
GIO,1,C2,1036
RUS,1,C3,1036
LAT,1,C2,1036
GRO,1,C2,1036
LEC,1,C3,1036
HAM,2,C2,1036
VER,2,C2,1036
BOT,2,C2,1036
PER,2,C2,1036
STR,2,C2,1036
SAI,2,C3,1036
VET,2,C3,1036
ALB,2,C1,1036
GAS,2,C2,1036
NOR,2,C3,1036
RIC,2,C3,1036
KVY,2,C2,1036
OCO,2,C3,1036
RAI,2,C2,1036
MAG,2,C2,1036
GIO,2,C2,1036
RUS,2,C2,1036
LAT,2,C2,1036
GRO,2,C3,1036
LEC,2,C2,1036
HAM,3,C2,1036
VER,3,C2,1036
BOT,3,C3,1036
STR,3,C3,1036
SAI,3,C2,1036
ALB,3,C2,1036
GAS,3,C2,1036
NOR,3,C2,1036
KVY,3,C2,1036
RAI,3,C3,1036
GIO,3,C3,1036
RUS,3,C2,1036
LAT,3,C3,1036
GRO,3,C3,1036
BOT,4,C2,1036
HAM,1,C3,1037
BOT,1,C3,1037
VER,1,C3,1037
RIC,1,C4,1037
OCO,1,C4,1037
ALB,1,C4,1037
NOR,1,C4,1037
GAS,1,C2,1037
STR,1,C4,1037
PER,1,C4,1037
KVY,1,C3,1037
RAI,1,C3,1037
VET,1,C3,1037
LEC,1,C4,1037
GRO,1,C3,1037
LAT,1,C3,1037
MAG,1,C3,1037
GIO,1,C3,1037
RUS,1,C3,1037
HAM,2,C2,1037
BOT,2,C2,1037
VER,2,C2,1037
RIC,2,C2,1037
OCO,2,C2,1037
ALB,2,C3,1037
NOR,2,C2,1037
GAS,2,C3,1037
STR,2,C2,1037
PER,2,C2,1037
KVY,2,C2,1037
RAI,2,C2,1037
VET,2,C2,1037
LEC,2,C2,1037
GRO,2,C2,1037
LAT,2,C2,1037
MAG,2,C2,1037
LEC,3,C3,1037
LAT,3,C3,1037
MAG,3,C4,1037
GAS,1,C4,1038
SAI,1,C4,1038
STR,1,C4,1038
NOR,1,C4,1038
BOT,1,C4,1038
RIC,1,C4,1038
HAM,1,C4,1038
OCO,1,C4,1038
KVY,1,C2,1038
PER,1,C4,1038
LAT,1,C3,1038
GRO,1,C3,1038
RAI,1,C3,1038
RUS,1,C3,1038
ALB,1,C4,1038
GIO,1,C3,1038
VER,1,C4,1038
LEC,1,C4,1038
MAG,1,C3,1038
VET,1,C2,1038
GAS,2,C2,1038
SAI,2,C3,1038
STR,2,C3,1038
NOR,2,C3,1038
BOT,2,C3,1038
RIC,2,C3,1038
HAM,2,C3,1038
OCO,2,C3,1038
KVY,2,C3,1038
PER,2,C3,1038
LAT,2,C2,1038
GRO,2,C2,1038
RAI,2,C2,1038
RUS,2,C2,1038
ALB,2,C3,1038
GIO,2,C2,1038
VER,2,C3,1038
LEC,2,C2,1038
MAG,2,C2,1038
GAS,3,C3,1038
HAM,3,C2,1038
OCO,3,C4,1038
LAT,3,C3,1038
RAI,3,C4,1038
RUS,3,C3,1038
ALB,3,C2,1038
GIO,3,C4,1038
HAM,1,C3,1039
BOT,1,C3,1039
RIC,1,C4,1039
KVY,1,C4,1039
LEC,1,C4,1039
PER,1,C3,1039
SAI,1,C4,1039
NOR,1,C4,1039
RAI,1,C3,1039
GIO,1,C4,1039
LAT,1,C3,1039
VET,1,C3,1039
STR,1,C3,1039
GRO,1,C3,1039
ALB,1,C4,1039
RUS,1,C3,1039
VER,1,C3,1039
MAG,1,C3,1039
OCO,1,C3,1039
GAS,1,C4,1039
HAM,2,C2,1039
BOT,2,C2,1039
RIC,2,C2,1039
KVY,2,C2,1039
LEC,2,C2,1039
PER,2,C2,1039
SAI,2,C3,1039
NOR,2,C3,1039
RAI,2,C4,1039
GIO,2,C3,1039
LAT,2,C2,1039
VET,2,C2,1039
STR,2,C2,1039
GRO,2,C2,1039
ALB,2,C2,1039
RUS,2,C2,1039
VER,2,C2,1039
MAG,2,C2,1039
OCO,2,C2,1039
HAM,3,C4,1039
BOT,3,C4,1039
KVY,3,C4,1039
PER,3,C4,1039
SAI,3,C4,1039
NOR,3,C4,1039
VET,3,C4,1039
STR,3,C3,1039
GRO,3,C4,1039
ALB,3,C4,1039
STR,4,C4,1039
BOT,1,C4,1040
VER,1,C4,1040
HAM,1,C5,1040
PER,1,C5,1040
RIC,1,C5,1040
LEC,1,C4,1040
OCO,1,C5,1040
KVY,1,C3,1040
GAS,1,C5,1040
ALB,1,C5,1040
GIO,1,C4,1040
MAG,1,C4,1040
VET,1,C4,1040
RAI,1,C3,1040
NOR,1,C5,1040
LAT,1,C4,1040
GRO,1,C4,1040
RUS,1,C4,1040
BOT,2,C3,1040
VER,2,C3,1040
HAM,2,C3,1040
PER,2,C3,1040
RIC,2,C3,1040
LEC,2,C3,1040
OCO,2,C3,1040
KVY,2,C4,1040
GAS,2,C3,1040
ALB,2,C3,1040
GIO,2,C3,1040
MAG,2,C3,1040
VET,2,C3,1040
RAI,2,C4,1040
NOR,2,C3,1040
LAT,2,C3,1040
GRO,2,C3,1040
RUS,2,C3,1040
GAS,3,C4,1040
ALB,3,C4,1040
NOR,3,C4,1040
GRO,3,C4,1040
RUS,3,C4,1040
RUS,4,C5,1040
HAM,1,C4,1041
VER,1,C4,1041
RIC,1,C4,1041
PER,1,C4,1041
SAI,1,C4,1041
GAS,1,C3,1041
LEC,1,C4,1041
HUL,1,C4,1041
GRO,1,C3,1041
GIO,1,C4,1041
VET,1,C3,1041
RAI,1,C4,1041
MAG,1,C4,1041
LAT,1,C4,1041
KVY,1,C3,1041
NOR,1,C4,1041
ALB,1,C4,1041
OCO,1,C4,1041
BOT,1,C4,1041
RUS,1,C4,1041
HAM,2,C3,1041
VER,2,C3,1041
RIC,2,C3,1041
PER,2,C3,1041
SAI,2,C3,1041
GAS,2,C2,1041
LEC,2,C3,1041
HUL,2,C3,1041
GRO,2,C2,1041
GIO,2,C3,1041
VET,2,C2,1041
RAI,2,C3,1041
MAG,2,C3,1041
LAT,2,C3,1041
KVY,2,C2,1041
NOR,2,C3,1041
ALB,2,C3,1041
BOT,2,C3,1041
RUS,2,C3,1041
HAM,3,C4,1041
VER,3,C4,1041
RIC,3,C4,1041
PER,3,C4,1041
SAI,3,C4,1041
GAS,3,C4,1041
LEC,3,C3,1041
HUL,3,C4,1041
GIO,3,C3,1041
VET,3,C4,1041
RAI,3,C4,1041
MAG,3,C3,1041
LAT,3,C3,1041
KVY,3,C4,1041
STR,1,C2,1042
HAM,1,C2,1042
LAT,1,C2,1042
GAS,1,C3,1042
SAI,1,C3,1042
PER,1,C3,1042
OCO,1,C2,1042
RIC,1,C3,1042
VET,1,C2,1042
BOT,1,C2,1042
RAI,1,C3,1042
KVY,1,C2,1042
VER,1,C3,1042
ALB,1,C3,1042
NOR,1,C3,1042
RUS,1,C2,1042
LEC,1,C2,1042
GIO,1,C2,1042
