code,constructorRef,circuit,gp,raceid,position,tm,ms,seconds,lap,stop,duration,box_time,box_seconds,accumulated,stint,compound,distance,stint_lap,stint_distance
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.776,58776,58,45,,,,,2882215,2,C2,159.435,14,49.602
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.679,59679,59,46,,,,,2940991,2,C2,162.978,15,53.145
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.921,58921,58,47,,,,,3000670,2,C2,166.521,16,56.688
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.799,58799,58,48,,,,,3059591,2,C2,170.064,17,60.231
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.703,58703,58,49,,,,,3118390,2,C2,173.607,18,63.774
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.166,60166,60,50,,,,,3177093,2,C2,177.15,19,67.317
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.805,58805,58,51,,,,,3237259,2,C2,180.693,20,70.86
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.649,58649,58,52,,,,,3296064,2,C2,184.236,21,74.403
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:58.667,58667,58,53,,,,,3354713,2,C2,187.779,22,77.946
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:11.243,71243,71,54,2,25.688,25688,25,3413380,2,C2,191.322,23,81.489
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:20.818,80818,80,55,,,,,3555866,3,C3,194.865,1,3.543
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:57.392,57392,57,56,,,,,3636684,3,C3,198.408,2,7.086
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:57.454,57454,57,57,,,,,3694076,3,C3,201.951,3,10.629
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:57.537,57537,57,58,,,,,3751530,3,C3,205.494,4,14.172
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:09.041,69041,69,59,3,40.028,40028,40,3809067,3,C3,209.037,5,17.715
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:48.753,108753,108,60,,,,,3947149,4,C4,212.58,1,3.543
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:28.611,88611,88,61,,,,,4055902,4,C4,216.123,2,7.086
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:21.570,81570,81,62,,,,,4144513,4,C4,219.666,3,10.629
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:59.023,59023,59,63,,,,,4226083,4,C4,223.209,4,14.172
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:03.072,63072,63,64,,,,,4285106,4,C4,226.752,5,17.715
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:15.734,75734,75,65,,,,,4348178,4,C4,230.295,6,21.258
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:02.078,62078,62,66,,,,,4423912,4,C4,233.838,7,24.801
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.343,58343,58,67,,,,,4485990,4,C4,237.381,8,28.344
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:00.362,60362,60,68,,,,,4544333,4,C4,240.924,9,31.887
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:57.963,57963,57,69,,,,,4604695,4,C4,244.467,10,35.43
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.283,58283,58,70,,,,,4662658,4,C4,248.01,11,38.973
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.849,58849,58,71,,,,,4720941,4,C4,251.553,12,42.516
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.304,58304,58,72,,,,,4779790,4,C4,255.096,13,46.059
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.277,58277,58,73,,,,,4838094,4,C4,258.639,14,49.602
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.262,58262,58,74,,,,,4896371,4,C4,262.182,15,53.145
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.917,58917,58,75,,,,,4954633,4,C4,265.725,16,56.688
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:59.093,59093,59,76,,,,,5013550,4,C4,269.268,17,60.231
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.545,58545,58,77,,,,,5072643,4,C4,272.811,18,63.774
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.415,58415,58,78,,,,,5131188,4,C4,276.354,19,67.317
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.193,58193,58,79,,,,,5189603,4,C4,279.897,20,70.86
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.018,58018,58,80,,,,,5247796,4,C4,283.44,21,74.403
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.395,58395,58,81,,,,,5305814,4,C4,286.983,22,77.946
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.012,58012,58,82,,,,,5364209,4,C4,290.526,23,81.489
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.944,57944,57,83,,,,,5422221,4,C4,294.069,24,85.032
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.288,58288,58,84,,,,,5480165,4,C4,297.612,25,88.575
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.761,57761,57,85,,,,,5538453,4,C4,301.155,26,92.118
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.727,57727,57,86,,,,,5596214,4,C4,304.698,27,95.661
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.941,57941,57,87,,,,,5653941,4,C4,308.241,28,99.204
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,12,1:32.043,92043,92,1,,,,,,1,C3,3.543,1,3.543
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,4,1:15.104,75104,75,1,,,,,,1,C4,4.318,1,4.318
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,1:27.279,87279,87,1,,,,,,1,C4,4.318,1,4.318
ALB,red_bull,Hungaroring,Hungarian Grand Prix,1033,11,1:47.561,107561,107,1,,,,,,1,INTER,4.381,1,4.381
ALB,red_bull,Silverstone Circuit,British Grand Prix,1034,12,1:43.077,103077,103,1,,,,,,1,C2,5.891,1,5.891
ALB,red_bull,Silverstone Circuit,70th Anniversary Grand Prix,1035,9,1:39.919,99919,99,1,,,,,,1,C3,5.891,1,5.891
ALB,red_bull,Circuit de Barcelona-Catalunya,Spanish Grand Prix,1036,6,1:31.211,91211,91,1,,,,,,1,C3,4.655,1,4.655
ALB,red_bull,Circuit de Spa-Francorchamps,Belgian Grand Prix,1037,6,1:57.297,117297,117,1,,,,,,1,C4,7.004,1,7.004
