LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_lap,laptime
22,0,0,1,13,0.244,108.82535,106.684,1,0,106.932
23,0,0,1,14,-0.317,108.7351905,106.684,1,1,106.615
24,0,0,1,15,-0.227,108.6388182,106.615,1,1,106.388
25,0,0,1,16,0.112,108.5409565,106.388,1,0,106.5
26,0,0,1,17,0.227,108.4559167,106.388,1,0,106.727
27,0,0,1,18,-0.157,108.38676,106.388,1,0,106.57
28,0,0,1,19,-0.04,108.3168846,106.388,1,0,106.53
29,0,0,1,20,0.11,108.2507037,106.388,1,0,106.64
30,0,0,1,21,0.402,108.1931786,106.388,1,0,107.042
31,0,0,1,22,34.708,108.1534828,106.388,0,0,141.75
36,0,0,1,27,-28.534,109.2733667,106.388,0,0,113.216
37,0,0,1,28,-5.356,109.4005484,106.388,1,0,107.86
38,0,0,1,29,-1.487,109.3524063,106.388,1,1,106.373
39,0,0,1,30,-0.334,109.2621212,106.373,1,1,106.039
40,0,0,1,31,0.06,109.1673235,106.039,1,0,106.099
41,0,0,1,32,-0.29,109.0796571,106.039,1,1,105.809
42,0,0,1,33,0.084,108.9888056,105.809,1,0,105.893
43,0,0,1,34,-0.149,108.9051351,105.809,1,1,105.744
44,0,0,1,35,0.15,108.8219474,105.744,1,0,105.894
45,0,0,1,36,-0.413,108.7468718,105.744,1,1,105.481
46,0,0,1,37,-0.542,108.665225,105.481,1,1,104.939
47,0,0,1,38,30.043,108.5743415,104.939,0,0,134.982
51,1,0,0,5,-29.581,109.2030952,104.939,1,0,105.401
3,1,0,0,3,19.956,110.85,110.85,0,0,130.806
3,1,0,0,4,-1.51,109.55,109.55,1,1,108.04
4,1,0,0,5,-0.214,108.795,108.04,1,1,107.826
5,1,0,0,6,-0.719,108.472,107.826,1,1,107.107
6,1,0,0,7,0.441,108.13075,107.107,1,0,107.548
7,1,0,0,8,-0.33,108.0142,107.107,1,0,107.218
8,1,0,0,9,-0.069,107.8815,107.107,1,0,107.149
9,1,0,0,10,-0.024,107.7768571,107.107,1,0,107.125
10,1,0,0,11,0.17,107.695375,107.107,1,0,107.295
11,1,0,0,12,0.032,107.6508889,107.107,1,0,107.327
12,1,0,0,13,3.062,107.6185,107.107,0,0,110.389
13,0,0,1,1,12.562,107.8703636,107.107,0,0,122.951
14,0,0,1,2,-16.759,109.1270833,107.107,1,1,106.192
15,0,0,1,3,0.193,108.9013077,106.192,1,0,106.385
16,0,0,1,4,-0.644,108.7215714,106.192,1,1,105.741
17,0,0,1,5,0.179,108.5228667,105.741,1,0,105.92
18,0,0,1,6,0.181,108.3601875,105.741,1,0,106.101
19,0,0,1,7,-0.204,108.2272941,105.741,1,0,105.897
20,0,0,1,8,0.069,108.0978333,105.741,1,0,105.966
21,0,0,1,9,-0.261,107.9856316,105.741,1,1,105.705
22,0,0,1,10,0.07,107.8716,105.705,1,0,105.775
23,0,0,1,11,-0.099,107.7717619,105.705,1,1,105.676
24,0,0,1,12,-0.22,107.6765,105.676,1,1,105.456
25,0,0,1,13,-0.041,107.5799565,105.456,1,1,105.415
26,0,0,1,14,-0.063,107.48975,105.415,1,1,105.352
27,0,0,1,15,0.1,107.40424,105.352,1,0,105.452
28,0,0,1,16,0.098,107.3291538,105.352,1,0,105.55
29,0,0,1,17,-0.156,107.2632593,105.352,1,0,105.394
30,0,0,1,18,0.259,107.1965,105.352,1,0,105.653
31,0,0,1,19,26.524,107.1432759,105.352,0,0,132.177
36,0,0,1,24,-24.528,107.9777333,105.352,1,0,107.649
37,0,0,1,25,-1.897,107.967129,105.352,1,0,105.752
38,0,0,1,26,-0.426,107.8979063,105.352,1,1,105.326
39,0,0,1,27,-0.201,107.8199697,105.326,1,1,105.125
40,0,0,1,28,-0.32,107.7407059,105.125,1,1,104.805
41,0,0,1,29,0.056,107.6568286,104.805,1,0,104.861
42,0,0,1,30,0.325,107.5791667,104.805,1,0,105.186
43,0,0,1,31,-0.257,107.5144865,104.805,1,0,104.929
44,0,0,1,32,-0.448,107.4464474,104.805,1,1,104.481
45,0,0,1,33,0.007,107.3704103,104.481,1,0,104.488
3,1,0,0,7,-1.176,109.236,109.236,1,1,108.06
4,1,0,0,8,-0.598,108.648,108.06,1,1,107.462
5,1,0,0,9,0.18,108.2526667,107.462,1,0,107.642
6,1,0,0,10,-0.248,108.1,107.462,1,1,107.394
7,1,0,0,11,-0.338,107.9588,107.394,1,1,107.056
8,1,0,0,12,0.028,107.8083333,107.056,1,0,107.084
9,1,0,0,13,0.315,107.7048571,107.056,1,0,107.399
10,1,0,0,14,0.042,107.666625,107.056,1,0,107.441
11,1,0,0,15,3.777,107.6415556,107.056,0,0,111.218
12,0,0,1,1,15.465,107.9992,107.056,0,0,126.683
13,0,0,1,2,-20.083,109.6977273,107.056,1,1,106.6
14,0,0,1,3,0.07,109.4395833,106.6,1,0,106.67
15,0,0,1,4,0.243,109.2265385,106.6,1,0,106.913
16,0,0,1,5,-1.238,109.0612857,106.6,1,1,105.675
17,0,0,1,6,0.47,108.8355333,105.675,1,0,106.145
18,0,0,1,7,-0.382,108.667375,105.675,1,0,105.763
19,0,0,1,8,0.466,108.4965294,105.675,1,0,106.229
20,0,0,1,9,-0.319,108.3705556,105.675,1,0,105.91
21,0,0,1,10,-0.096,108.2410526,105.675,1,0,105.814
22,0,0,1,11,0.302,108.1197,105.675,1,0,106.116
23,0,0,1,12,0.263,108.0242857,105.675,1,0,106.379
24,0,0,1,13,-0.096,107.9495,105.675,1,0,106.283
25,0,0,1,14,-0.663,107.8770435,105.675,1,1,105.62
26,0,0,1,15,0.424,107.783,105.62,1,0,106.044
27,0,0,1,16,0.302,107.71344,105.62,1,0,106.346
28,0,0,1,17,-0.245,107.6608462,105.62,1,0,106.101
29,0,0,1,18,-0.255,107.6030741,105.62,1,0,105.846
30,0,0,1,19,-0.254,107.5403214,105.62,1,1,105.592
31,0,0,1,20,32.818,107.4731379,105.592,0,0,138.41
36,0,0,1,25,-28.309,108.5043667,105.592,0,0,110.101
37,0,0,1,26,-3.587,108.555871,105.592,1,0,106.514
38,0,0,1,27,-1.299,108.4920625,105.592,1,1,105.215
39,0,0,1,28,0.805,108.3927576,105.215,1,0,106.02
40,0,0,1,29,-1.001,108.3229706,105.215,1,1,105.019
41,0,0,1,30,0.008,108.2285714,105.019,1,0,105.027
42,0,0,1,31,0.231,108.1396389,105.019,1,0,105.258
43,0,0,1,32,-0.489,108.0617568,105.019,1,1,104.769
44,0,0,1,33,0.01,107.9751053,104.769,1,0,104.779
45,0,0,1,34,0.078,107.8931538,104.769,1,0,104.857
46,0,0,1,35,0.247,107.81725,104.769,1,0,105.104
47,0,0,1,36,30.302,107.7510732,104.769,0,0,135.406
51,1,0,0,7,-24.321,108.4095238,104.769,0,0,111.085
3,1,0,0,3,-1.903,112.393,112.393,1,1,110.49
4,1,0,0,4,0.098,111.4415,110.49,1,0,110.588
5,1,0,0,5,-0.485,111.157,110.49,1,1,110.103
6,1,0,0,6,-0.396,110.8935,110.103,1,1,109.707
7,1,0,0,7,0.117,110.6562,109.707,1,0,109.824
8,1,0,0,8,3.762,110.5175,109.707,0,0,113.586
9,0,0,1,1,15.029,110.9558571,109.707,0,0,128.615
10,0,0,1,2,-20.7,113.16325,109.707,1,1,107.915
11,0,0,1,3,1.701,112.5801111,107.915,1,0,109.616
12,0,0,1,4,-1.201,112.2837,107.915,1,0,108.415
13,0,0,1,5,0.227,111.932,107.915,1,0,108.642
14,0,0,1,6,-0.001,111.6578333,107.915,1,0,108.641
15,0,0,1,7,-0.258,111.4257692,107.915,1,0,108.383
16,0,0,1,8,0.086,111.2084286,107.915,1,0,108.469
17,0,0,1,9,-0.266,111.0258,107.915,1,0,108.203
18,0,0,1,10,0.392,110.849375,107.915,1,0,108.595
19,0,0,1,11,-0.56,110.7167647,107.915,1,0,108.035
20,0,0,1,12,-0.064,110.5677778,107.915,1,0,107.971
21,0,0,1,13,-0.129,110.4311053,107.915,1,1,107.842
22,0,0,1,14,0.521,110.30165,107.842,1,0,108.363
23,0,0,1,15,-0.519,110.2093333,107.842,1,0,107.844
24,0,0,1,16,0.313,110.1018182,107.842,1,0,108.157
25,0,0,1,17,-0.323,110.0172609,107.842,1,1,107.834
26,0,0,1,18,0.109,109.9262917,107.834,1,0,107.943
27,0,0,1,19,0.576,109.84696,107.834,1,0,108.519
28,0,0,1,20,-0.03,109.7958846,107.834,1,0,108.489
29,0,0,1,21,-0.159,109.7474815,107.834,1,0,108.33
30,0,0,1,22,21.232,109.6968571,107.834,0,0,129.562
31,0,0,1,23,20.184,110.3818621,107.834,0,0,149.746
32,0,0,1,24,-20.539,111.694,107.834,0,0,129.207
36,1,0,0,4,-20.755,112.2589355,107.834,1,0,108.452
37,1,0,0,5,0.829,112.1399688,107.834,1,0,109.281
38,1,0,0,6,-0.572,112.0533333,107.834,1,0,108.709
39,1,0,0,7,-0.925,111.9549706,107.834,1,1,107.784
40,1,0,0,8,0.488,111.8358,107.784,1,0,108.272
41,1,0,0,9,-0.648,111.7368056,107.784,1,1,107.624
42,1,0,0,10,0.266,111.6256486,107.624,1,0,107.89
43,1,0,0,11,1.033,111.5273421,107.624,1,0,108.923
44,1,0,0,12,4.996,111.4605641,107.624,0,0,113.919
45,1,0,0,3,12.51,111.522025,107.624,0,0,126.429
46,1,0,0,4,-13.58,111.8856098,107.624,0,0,112.849
50,1,0,0,5,5.092,111.9085476,107.624,0,0,117.941
51,1,0,0,6,-10.172,112.0488372,107.624,1,0,107.769
3,1,0,0,6,-0.242,109.542,109.542,1,1,109.3
4,1,0,0,7,-0.737,109.421,109.3,1,1,108.563
5,1,0,0,8,-0.767,109.135,108.563,1,1,107.796
6,1,0,0,9,0.098,108.80025,107.796,1,0,107.894
7,1,0,0,10,0.19,108.619,107.796,1,0,108.084
8,1,0,0,11,-0.322,108.5298333,107.796,1,1,107.762
9,1,0,0,12,-0.467,108.4201429,107.762,1,1,107.295
10,1,0,0,13,4.247,108.2795,107.295,0,0,111.542
11,0,0,1,1,32.468,108.642,107.295,0,0,144.01
12,0,0,1,2,-36.486,112.1788,107.295,1,0,107.524
13,0,0,1,3,-0.308,111.7556364,107.295,1,1,107.216
14,0,0,1,4,-0.108,111.3773333,107.216,1,1,107.108
15,0,0,1,5,0.028,111.0489231,107.108,1,0,107.136
16,0,0,1,6,0.82,110.7694286,107.108,1,0,107.956
17,0,0,1,7,0.102,110.5818667,107.108,1,0,108.058
18,0,0,1,8,-0.326,110.424125,107.108,1,0,107.732
19,0,0,1,9,0.142,110.2657647,107.108,1,0,107.874
20,0,0,1,10,0.148,110.1328889,107.108,1,0,108.022
21,0,0,1,11,-0.743,110.0217895,107.108,1,0,107.279
22,0,0,1,12,0.304,109.88465,107.108,1,0,107.583
23,0,0,1,13,0.85,109.7750476,107.108,1,0,108.433
24,0,0,1,14,-2.398,109.7140455,107.108,1,1,106.035
25,0,0,1,15,0.307,109.554087,106.035,1,0,106.342
26,0,0,1,16,0.253,109.42025,106.035,1,0,106.595
27,0,0,1,17,0.856,109.30724,106.035,1,0,107.451
28,0,0,1,18,-1.152,109.2358462,106.035,1,0,106.299
29,0,0,1,19,-0.328,109.1270741,106.035,1,1,105.971
30,0,0,1,20,9.602,109.0143571,105.971,0,0,115.573
32,0,0,1,22,24.811,109.2405172,105.971,0,0,140.384
36,0,0,1,26,-26.612,110.2786333,105.971,0,0,113.772
37,0,0,1,27,-5.49,110.3913226,105.971,1,0,108.282
38,0,0,1,28,-1.316,110.3254063,105.971,1,0,106.966
39,0,0,1,29,-0.737,110.2236061,105.971,1,0,106.229
40,0,0,1,30,-0.494,110.1061176,105.971,1,1,105.735
41,0,0,1,31,0.166,109.9812286,105.735,1,0,105.901
42,0,0,1,32,-0.201,109.8678889,105.735,1,1,105.7
43,0,0,1,33,0.123,109.7552432,105.7,1,0,105.823
44,0,0,1,34,0.422,109.6517632,105.7,1,0,106.245
45,0,0,1,35,-0.544,109.5644103,105.7,1,0,105.701
46,0,0,1,36,1.239,109.467825,105.7,1,0,106.94
47,0,0,1,37,28.393,109.4061707,105.7,0,0,135.333
51,1,0,0,5,-29.158,110.0234762,105.7,1,0,106.175
36,0,0,1,2,-18.151,111.7436774,107.048,0,0,117.492
37,0,0,1,3,-7.968,111.9233125,107.048,1,0,109.524
38,0,0,1,4,-1.785,111.8506061,107.048,1,0,107.739
39,0,0,1,5,-0.399,111.7296765,107.048,1,0,107.34
40,0,0,1,6,-0.559,111.6042571,107.048,1,1,106.781
41,0,0,1,7,-0.619,111.4702778,106.781,1,1,106.162
42,0,0,1,8,-0.108,111.3268108,106.162,1,1,106.054
43,0,0,1,9,-0.095,111.1880526,106.054,1,1,105.959
44,0,0,1,10,0.758,111.0539744,105.959,1,0,106.717
45,0,0,1,11,-0.596,110.94555,105.959,1,0,106.121
46,0,0,1,12,1.864,110.827878,105.959,1,0,107.985
47,0,0,1,13,27.948,110.7601905,105.959,0,0,135.933
3,1,0,0,7,-1.103,110.418,110.418,1,1,109.315
4,1,0,0,8,-0.107,109.8665,109.315,1,1,109.208
5,1,0,0,9,-0.986,109.647,109.208,1,1,108.222
6,1,0,0,10,0.113,109.29075,108.222,1,0,108.335
7,1,0,0,11,0.542,109.0996,108.222,1,0,108.877
8,1,0,0,12,-0.459,109.0625,108.222,1,0,108.418
9,1,0,0,13,-0.284,108.9704286,108.222,1,1,108.134
10,1,0,0,14,0.192,108.865875,108.134,1,0,108.326
11,1,0,0,15,3.845,108.8058889,108.134,0,0,112.171
12,0,0,1,1,12.171,109.1424,108.134,0,0,124.342
13,0,0,1,2,-16.678,110.5241818,108.134,1,1,107.664
14,0,0,1,3,-0.312,110.2858333,107.664,1,1,107.352
15,0,0,1,4,-0.329,110.0601538,107.352,1,1,107.023
16,0,0,1,5,-0.397,109.8432143,107.023,1,1,106.626
17,0,0,1,6,-0.014,109.6287333,106.626,1,1,106.612
18,0,0,1,7,-0.359,109.4401875,106.612,1,1,106.253
19,0,0,1,8,-0.081,109.2527059,106.253,1,1,106.172
20,0,0,1,9,0.438,109.0815556,106.172,1,0,106.61
21,0,0,1,10,0.748,108.9514737,106.172,1,0,107.358
22,0,0,1,11,0.155,108.8718,106.172,1,0,107.513
23,0,0,1,12,0.223,108.8070952,106.172,1,0,107.736
24,0,0,1,13,-0.833,108.7584091,106.172,1,0,106.903
25,0,0,1,14,-0.133,108.6777391,106.172,1,0,106.77
26,0,0,1,15,-0.434,108.59825,106.172,1,0,106.336
27,0,0,1,16,0.049,108.50776,106.172,1,0,106.385
28,0,0,1,17,-0.321,108.4261154,106.172,1,1,106.064
29,0,0,1,18,0.111,108.3386296,106.064,1,0,106.175
30,0,0,1,19,2.123,108.2613571,106.064,0,0,108.298
36,0,0,1,25,8.404,108.2626207,106.064,0,0,116.702
37,0,0,1,26,-7.714,108.5439333,106.064,0,0,108.988
38,0,0,1,27,-0.599,108.5582581,106.064,1,0,108.389
39,0,0,1,28,-0.665,108.5529688,106.064,1,0,107.724
40,0,0,1,29,-1.292,108.5278485,106.064,1,0,106.432
41,0,0,1,30,-0.07,108.4662059,106.064,1,0,106.362
42,0,0,1,31,-0.386,108.4060857,106.064,1,1,105.976
43,0,0,1,32,-0.311,108.3385833,105.976,1,1,105.665
44,0,0,1,33,0.152,108.2663243,105.665,1,0,105.817
45,0,0,1,34,0.379,108.2018684,105.665,1,0,106.196
46,0,0,1,35,2.356,108.1504359,105.665,0,0,108.552
47,0,0,1,36,29.52,108.160475,105.665,0,0,138.072
50,1,0,0,6,-5.358,108.8900244,105.665,0,0,132.714
51,1,0,0,7,-25.952,109.4572619,105.665,1,0,106.762
3,0,0,1,1,10.277,115.997,115.997,0,0,126.274
4,0,0,1,2,-17.438,121.1355,115.997,1,1,108.836
5,0,0,1,3,-0.244,117.0356667,108.836,1,1,108.592
6,0,0,1,4,0.192,114.92475,108.592,1,0,108.784
7,0,0,1,5,-0.081,113.6966,108.592,1,0,108.703
8,0,0,1,6,-0.063,112.8643333,108.592,1,0,108.64
9,0,0,1,7,-0.402,112.2608571,108.592,1,1,108.238
10,0,0,1,8,0.069,111.758,108.238,1,0,108.307
11,0,0,1,9,0.892,111.3745556,108.238,1,0,109.199
12,0,0,1,10,-0.956,111.157,108.238,1,0,108.243
13,0,0,1,11,-0.075,110.8920909,108.238,1,1,108.168
14,0,0,1,12,-0.336,110.6650833,108.168,1,1,107.832
15,0,0,1,13,0.087,110.4471538,107.832,1,0,107.919
16,0,0,1,14,0.07,110.2665714,107.832,1,0,107.989
17,0,0,1,15,-0.184,110.1147333,107.832,1,1,107.805
18,0,0,1,16,0.288,109.970375,107.805,1,0,108.093
19,0,0,1,17,-0.295,109.8599412,107.805,1,1,107.798
20,0,0,1,18,-0.024,109.7453889,107.798,1,1,107.774
21,0,0,1,19,-0.267,109.6416316,107.774,1,1,107.507
22,0,0,1,20,0.248,109.5349,107.507,1,0,107.755
23,0,0,1,21,2.484,109.4501429,107.507,0,0,110.239
24,0,0,1,22,-1.981,109.486,107.507,1,0,108.258
25,0,0,1,23,-0.776,109.4326087,107.507,1,1,107.482
26,0,0,1,24,-0.123,109.3513333,107.482,1,1,107.359
27,0,0,1,25,0.003,109.27164,107.359,1,0,107.362
28,0,0,1,26,0.136,109.1981923,107.359,1,0,107.498
29,0,0,1,27,-0.181,109.1352222,107.359,1,1,107.317
30,0,0,1,28,12.833,109.0702857,107.317,0,0,120.15
31,0,0,1,29,26.943,109.4523448,107.317,0,0,147.093
32,0,0,1,30,-5.031,110.7070333,107.317,0,0,142.062
36,0,0,1,2,-25.975,111.7184839,107.317,0,0,116.087
37,0,0,1,3,-6.58,111.855,107.317,1,0,109.507
38,0,0,1,4,-2.365,111.7838485,107.317,1,1,107.142
39,0,0,1,5,-0.922,111.6473235,107.142,1,1,106.22
40,0,0,1,6,0.14,111.4922571,106.22,1,0,106.36
41,0,0,1,7,-0.338,111.3496944,106.22,1,1,106.022
42,0,0,1,8,0.087,111.2057027,106.022,1,0,106.109
43,0,0,1,9,-0.198,111.0715789,106.022,1,1,105.911
44,0,0,1,10,-0.336,110.9392564,105.911,1,1,105.575
45,0,0,1,11,1.108,110.80515,105.575,1,0,106.683
46,0,0,1,12,0.493,110.7046098,105.575,1,0,107.176
47,0,0,1,13,33.028,110.6205952,105.575,0,0,140.204
50,1,0,0,2,0.359,111.3085814,105.575,0,0,140.563
51,1,0,0,3,-33.912,111.9734545,105.575,1,0,106.651
