,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
412,0 days 01:11:05.381000,18,0 days 00:01:47.118000,32.0,2.0,,,0 days 00:00:37.779000,0 days 00:00:43.029000,0 days 00:00:26.310000,0 days 01:09:56.042000,0 days 01:10:39.071000,0 days 01:11:05.381000,205.0,213.0,302.0,307.0,SOFT,9.0,True,0 days 01:09:18.263000,Williams,STR,1,True,2018-04-29 13:15:18.340
413,0 days 01:12:52.451000,18,0 days 00:01:47.070000,33.0,2.0,,,0 days 00:00:37.849000,0 days 00:00:43.066000,0 days 00:00:26.155000,0 days 01:11:43.230000,0 days 01:12:26.296000,0 days 01:12:52.451000,203.0,215.0,302.0,305.0,SOFT,10.0,True,0 days 01:11:05.381000,Williams,STR,1,True,2018-04-29 13:17:05.458
414,0 days 01:14:39.644000,18,0 days 00:01:47.193000,34.0,2.0,,,0 days 00:00:37.796000,0 days 00:00:42.994000,0 days 00:00:26.403000,0 days 01:13:30.247000,0 days 01:14:13.241000,0 days 01:14:39.644000,204.0,211.0,309.0,306.0,SOFT,11.0,True,0 days 01:12:52.451000,Williams,STR,1,True,2018-04-29 13:18:52.528
415,0 days 01:16:27.111000,18,0 days 00:01:47.467000,35.0,2.0,,,0 days 00:00:38.123000,0 days 00:00:43.086000,0 days 00:00:26.258000,0 days 01:15:17.767000,0 days 01:16:00.853000,0 days 01:16:27.111000,192.0,208.0,302.0,307.0,SOFT,12.0,True,0 days 01:14:39.644000,Williams,STR,1,True,2018-04-29 13:20:39.721
416,0 days 01:18:14.486000,18,0 days 00:01:47.375000,36.0,2.0,,,0 days 00:00:38.056000,0 days 00:00:43.065000,0 days 00:00:26.254000,0 days 01:17:05.167000,0 days 01:17:48.232000,0 days 01:18:14.486000,200.0,209.0,303.0,308.0,SOFT,13.0,True,0 days 01:16:27.111000,Williams,STR,1,True,2018-04-29 13:22:27.188
417,0 days 01:20:01.665000,18,0 days 00:01:47.179000,37.0,2.0,,,0 days 00:00:37.882000,0 days 00:00:43.168000,0 days 00:00:26.129000,0 days 01:18:52.368000,0 days 01:19:35.536000,0 days 01:20:01.665000,204.0,212.0,312.0,308.0,SOFT,14.0,True,0 days 01:18:14.486000,Williams,STR,1,True,2018-04-29 13:24:14.563
418,0 days 01:21:48.668000,18,0 days 00:01:47.003000,38.0,2.0,,,0 days 00:00:37.816000,0 days 00:00:43.055000,0 days 00:00:26.132000,0 days 01:20:39.481000,0 days 01:21:22.536000,0 days 01:21:48.668000,195.0,207.0,306.0,309.0,SOFT,15.0,True,0 days 01:20:01.665000,Williams,STR,1,True,2018-04-29 13:26:01.742
419,0 days 01:23:36.220000,18,0 days 00:01:47.552000,39.0,2.0,,,0 days 00:00:38.055000,0 days 00:00:43.207000,0 days 00:00:26.290000,0 days 01:22:26.723000,0 days 01:23:09.930000,0 days 01:23:36.220000,,208.0,307.0,309.0,SOFT,16.0,True,0 days 01:21:48.668000,Williams,STR,2,True,2018-04-29 13:27:48.745
420,0 days 01:26:04.892000,18,0 days 00:02:28.672000,40.0,2.0,,0 days 01:26:03.722000,0 days 00:00:50.628000,0 days 00:00:54.735000,0 days 00:00:43.309000,0 days 01:24:26.848000,0 days 01:25:21.583000,0 days 01:26:04.892000,142.0,131.0,,215.0,SOFT,17.0,True,0 days 01:23:36.220000,Williams,STR,24,False,2018-04-29 13:29:36.297
421,0 days 01:28:45.574000,18,,41.0,3.0,0 days 01:26:24.969000,,0 days 00:01:04.984000,0 days 00:00:56.533000,0 days 00:00:39.150000,0 days 01:27:09.962000,0 days 01:28:06.512000,0 days 01:28:45.723000,157.0,151.0,241.0,200.0,ULTRASOFT,1.0,True,0 days 01:26:04.892000,Williams,STR,4,False,2018-04-29 13:32:04.969
422,0 days 01:30:49.005000,18,0 days 00:02:03.431000,42.0,3.0,,,0 days 00:00:47.445000,0 days 00:00:47.895000,0 days 00:00:28.091000,0 days 01:29:33.019000,0 days 01:30:20.914000,0 days 01:30:49.005000,173.0,180.0,289.0,276.0,ULTRASOFT,2.0,True,0 days 01:28:45.574000,Williams,STR,4,False,2018-04-29 13:34:45.651
423,0 days 01:33:26.065000,18,,43.0,3.0,,,0 days 00:00:42.761000,0 days 00:01:08.469000,0 days 00:00:45.765000,0 days 01:31:31.842000,0 days 01:32:40.300000,0 days 01:33:26.143000,131.0,99.0,238.0,177.0,ULTRASOFT,3.0,True,0 days 01:30:49.005000,Williams,STR,4,False,2018-04-29 13:36:49.082
424,0 days 01:36:14.781000,18,,44.0,3.0,,,0 days 00:00:53.923000,0 days 00:01:15.289000,0 days 00:00:39.510000,0 days 01:34:19.982000,0 days 01:35:35.283000,0 days 01:36:14.805000,129.0,135.0,214.0,171.0,ULTRASOFT,4.0,True,0 days 01:33:26.065000,Williams,STR,4,False,2018-04-29 13:39:26.142
425,0 days 01:39:01.545000,18,,45.0,3.0,,,0 days 00:00:52.401000,0 days 00:01:14.139000,0 days 00:00:40.194000,0 days 01:37:07.212000,0 days 01:38:21.359000,0 days 01:39:01.629000,150.0,118.0,237.0,217.0,ULTRASOFT,5.0,True,0 days 01:36:14.781000,Williams,STR,4,False,2018-04-29 13:42:14.858
