,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,0 days 00:10:10.534000,5,,1.0,1.0,0 days 00:00:04.180000,,,0 days 00:01:05.241000,0 days 00:00:42.025000,,0 days 00:09:28.509000,0 days 00:10:10.592000,208.0,151.0,150.0,180.0,,,,0 days 00:07:42.253000,Ferrari,VET,24,False,2018-04-29 12:13:42.330
1,0 days 00:13:19.852000,5,,2.0,1.0,,,0 days 00:01:15.810000,0 days 00:01:02.054000,0 days 00:00:51.455000,0 days 00:11:26.604000,0 days 00:12:28.397000,0 days 00:13:19.945000,143.0,142.0,172.0,129.0,,,,0 days 00:10:10.534000,Ferrari,VET,4,False,2018-04-29 12:16:10.611
2,0 days 00:15:53.280000,5,,3.0,1.0,,,0 days 00:00:56.139000,0 days 00:01:03.305000,0 days 00:00:33.905000,0 days 00:14:16.107000,0 days 00:15:19.402000,0 days 00:15:53.280000,118.0,128.0,253.0,225.0,SUPERSOFT,8.0,False,0 days 00:13:19.852000,Ferrari,VET,4,False,2018-04-29 12:19:19.929
3,0 days 00:18:27.547000,5,,4.0,1.0,,,0 days 00:00:56.675000,0 days 00:01:00.353000,0 days 00:00:37.267000,0 days 00:16:49.979000,0 days 00:17:50.280000,0 days 00:18:27.676000,152.0,122.0,262.0,214.0,SUPERSOFT,9.0,False,0 days 00:15:53.280000,Ferrari,VET,4,False,2018-04-29 12:21:53.357
4,0 days 00:21:30.534000,5,,5.0,1.0,,,0 days 00:00:54.160000,0 days 00:01:05.326000,0 days 00:01:03.543000,0 days 00:19:21.756000,0 days 00:20:27.027000,0 days 00:21:30.789000,124.0,95.0,279.0,87.0,SUPERSOFT,10.0,False,0 days 00:18:27.547000,Ferrari,VET,4,False,2018-04-29 12:24:27.624
5,0 days 00:23:21.850000,5,0 days 00:01:51.316000,6.0,1.0,,,0 days 00:00:39.676000,0 days 00:00:44.596000,0 days 00:00:27.044000,0 days 00:22:10.210000,0 days 00:22:54.806000,0 days 00:23:21.850000,189.0,188.0,300.0,297.0,SUPERSOFT,11.0,False,0 days 00:21:30.534000,Ferrari,VET,1,False,2018-04-29 12:27:30.611
6,0 days 00:25:11.437000,5,0 days 00:01:49.587000,7.0,1.0,,,0 days 00:00:38.742000,0 days 00:00:43.987000,0 days 00:00:26.858000,0 days 00:24:00.592000,0 days 00:24:44.579000,0 days 00:25:11.437000,200.0,188.0,300.0,297.0,SUPERSOFT,12.0,False,0 days 00:23:21.850000,Ferrari,VET,1,True,2018-04-29 12:29:21.927
7,0 days 00:26:59.902000,5,0 days 00:01:48.465000,8.0,1.0,,,0 days 00:00:38.170000,0 days 00:00:43.674000,0 days 00:00:26.621000,0 days 00:25:49.607000,0 days 00:26:33.281000,0 days 00:26:59.902000,197.0,201.0,302.0,300.0,SUPERSOFT,13.0,False,0 days 00:25:11.437000,Ferrari,VET,1,True,2018-04-29 12:31:11.514
8,0 days 00:28:47.747000,5,0 days 00:01:47.845000,9.0,1.0,,,0 days 00:00:38.063000,0 days 00:00:43.033000,0 days 00:00:26.749000,0 days 00:27:37.965000,0 days 00:28:20.998000,0 days 00:28:47.747000,198.0,198.0,302.0,300.0,SUPERSOFT,14.0,False,0 days 00:26:59.902000,Ferrari,VET,1,True,2018-04-29 12:32:59.979
9,0 days 00:30:35.253000,5,0 days 00:01:47.506000,10.0,1.0,,,0 days 00:00:37.724000,0 days 00:00:43.212000,0 days 00:00:26.570000,0 days 00:29:25.471000,0 days 00:30:08.683000,0 days 00:30:35.253000,205.0,206.0,301.0,298.0,SUPERSOFT,15.0,False,0 days 00:28:47.747000,Ferrari,VET,2,True,2018-04-29 12:34:47.824
10,0 days 00:32:22.493000,5,0 days 00:01:47.240000,11.0,1.0,,,0 days 00:00:37.771000,0 days 00:00:42.904000,0 days 00:00:26.565000,0 days 00:31:13.024000,0 days 00:31:55.928000,0 days 00:32:22.493000,201.0,207.0,302.0,300.0,SUPERSOFT,16.0,False,0 days 00:30:35.253000,Ferrari,VET,2,True,2018-04-29 12:36:35.330
11,0 days 00:34:09.318000,5,0 days 00:01:46.825000,12.0,1.0,,,0 days 00:00:37.456000,0 days 00:00:42.877000,0 days 00:00:26.492000,0 days 00:32:59.949000,0 days 00:33:42.826000,0 days 00:34:09.318000,195.0,211.0,304.0,300.0,SUPERSOFT,17.0,False,0 days 00:32:22.493000,Ferrari,VET,1,True,2018-04-29 12:38:22.570
12,0 days 00:35:56.182000,5,0 days 00:01:46.864000,13.0,1.0,,,0 days 00:00:37.588000,0 days 00:00:42.762000,0 days 00:00:26.514000,0 days 00:34:46.906000,0 days 00:35:29.668000,0 days 00:35:56.182000,208.0,205.0,304.0,300.0,SUPERSOFT,18.0,False,0 days 00:34:09.318000,Ferrari,VET,1,True,2018-04-29 12:40:09.395
13,0 days 00:37:43.612000,5,0 days 00:01:47.430000,14.0,1.0,,,0 days 00:00:37.647000,0 days 00:00:43.360000,0 days 00:00:26.423000,0 days 00:36:33.829000,0 days 00:37:17.189000,0 days 00:37:43.612000,203.0,210.0,304.0,300.0,SUPERSOFT,19.0,False,0 days 00:35:56.182000,Ferrari,VET,1,True,2018-04-29 12:41:56.259
14,0 days 00:39:30.334000,5,0 days 00:01:46.722000,15.0,1.0,,,0 days 00:00:37.654000,0 days 00:00:42.734000,0 days 00:00:26.334000,0 days 00:38:21.266000,0 days 00:39:04,0 days 00:39:30.334000,207.0,209.0,304.0,301.0,SUPERSOFT,20.0,False,0 days 00:37:43.612000,Ferrari,VET,2,True,2018-04-29 12:43:43.689
15,0 days 00:41:17.605000,5,0 days 00:01:47.271000,16.0,1.0,,,0 days 00:00:37.675000,0 days 00:00:42.748000,0 days 00:00:26.848000,0 days 00:40:08.009000,0 days 00:40:50.757000,0 days 00:41:17.605000,208.0,216.0,304.0,301.0,SUPERSOFT,21.0,False,0 days 00:39:30.334000,Ferrari,VET,1,True,2018-04-29 12:45:30.411
16,0 days 00:43:04.516000,5,0 days 00:01:46.911000,17.0,1.0,,,0 days 00:00:37.726000,0 days 00:00:42.894000,0 days 00:00:26.291000,0 days 00:41:55.331000,0 days 00:42:38.225000,0 days 00:43:04.516000,207.0,207.0,304.0,303.0,SUPERSOFT,22.0,False,0 days 00:41:17.605000,Ferrari,VET,1,True,2018-04-29 12:47:17.682
17,0 days 00:44:51.389000,5,0 days 00:01:46.873000,18.0,1.0,,,0 days 00:00:37.682000,0 days 00:00:42.701000,0 days 00:00:26.490000,0 days 00:43:42.198000,0 days 00:44:24.899000,0 days 00:44:51.389000,213.0,208.0,303.0,301.0,SUPERSOFT,23.0,False,0 days 00:43:04.516000,Ferrari,VET,2,True,2018-04-29 12:49:04.593
18,0 days 00:46:37.864000,5,0 days 00:01:46.475000,19.0,1.0,,,0 days 00:00:37.440000,0 days 00:00:42.581000,0 days 00:00:26.454000,0 days 00:45:28.829000,0 days 00:46:11.410000,0 days 00:46:37.864000,207.0,214.0,305.0,300.0,SUPERSOFT,24.0,False,0 days 00:44:51.389000,Ferrari,VET,1,True,2018-04-29 12:50:51.466
19,0 days 00:48:24.193000,5,0 days 00:01:46.329000,20.0,1.0,,,0 days 00:00:37.426000,0 days 00:00:42.742000,0 days 00:00:26.161000,0 days 00:47:15.290000,0 days 00:47:58.032000,0 days 00:48:24.193000,210.0,210.0,306.0,302.0,SUPERSOFT,25.0,False,0 days 00:46:37.864000,Ferrari,VET,1,True,2018-04-29 12:52:37.941
20,0 days 00:50:10.701000,5,0 days 00:01:46.508000,21.0,1.0,,,0 days 00:00:37.728000,0 days 00:00:42.571000,0 days 00:00:26.209000,0 days 00:49:01.921000,0 days 00:49:44.492000,0 days 00:50:10.701000,198.0,213.0,305.0,302.0,SUPERSOFT,26.0,False,0 days 00:48:24.193000,Ferrari,VET,2,True,2018-04-29 12:54:24.270
21,0 days 00:51:56.899000,5,0 days 00:01:46.198000,22.0,1.0,,,0 days 00:00:37.281000,0 days 00:00:42.720000,0 days 00:00:26.197000,0 days 00:50:47.982000,0 days 00:51:30.702000,0 days 00:51:56.899000,214.0,210.0,303.0,301.0,SUPERSOFT,27.0,False,0 days 00:50:10.701000,Ferrari,VET,1,True,2018-04-29 12:56:10.778
22,0 days 00:53:43.453000,5,0 days 00:01:46.554000,23.0,1.0,,,0 days 00:00:37.536000,0 days 00:00:42.476000,0 days 00:00:26.542000,0 days 00:52:34.435000,0 days 00:53:16.911000,0 days 00:53:43.453000,207.0,211.0,302.0,303.0,SUPERSOFT,28.0,False,0 days 00:51:56.899000,Ferrari,VET,1,True,2018-04-29 12:57:56.976
23,0 days 00:55:30.612000,5,0 days 00:01:47.159000,24.0,1.0,,,0 days 00:00:37.688000,0 days 00:00:43.036000,0 days 00:00:26.435000,0 days 00:54:21.141000,0 days 00:55:04.177000,0 days 00:55:30.612000,199.0,214.0,304.0,300.0,SUPERSOFT,29.0,False,0 days 00:53:43.453000,Ferrari,VET,1,True,2018-04-29 12:59:43.530
24,0 days 00:57:17.314000,5,0 days 00:01:46.702000,25.0,1.0,,,0 days 00:00:37.414000,0 days 00:00:42.878000,0 days 00:00:26.410000,0 days 00:56:08.026000,0 days 00:56:50.904000,0 days 00:57:17.314000,213.0,211.0,306.0,305.0,SUPERSOFT,30.0,False,0 days 00:55:30.612000,Ferrari,VET,1,True,2018-04-29 13:01:30.689
25,0 days 00:59:04.835000,5,0 days 00:01:47.521000,26.0,1.0,,,0 days 00:00:37.735000,0 days 00:00:43.504000,0 days 00:00:26.282000,0 days 00:57:55.049000,0 days 00:58:38.553000,0 days 00:59:04.835000,201.0,218.0,304.0,303.0,SUPERSOFT,31.0,False,0 days 00:57:17.314000,Ferrari,VET,1,True,2018-04-29 13:03:17.391
26,0 days 01:00:51.456000,5,0 days 00:01:46.621000,27.0,1.0,,,0 days 00:00:37.574000,0 days 00:00:42.663000,0 days 00:00:26.384000,0 days 00:59:42.409000,0 days 01:00:25.072000,0 days 01:00:51.456000,215.0,221.0,304.0,300.0,SUPERSOFT,32.0,False,0 days 00:59:04.835000,Ferrari,VET,1,True,2018-04-29 13:05:04.912
27,0 days 01:02:38.202000,5,0 days 00:01:46.746000,28.0,1.0,,,0 days 00:00:37.494000,0 days 00:00:42.886000,0 days 00:00:26.366000,0 days 01:01:28.950000,0 days 01:02:11.836000,0 days 01:02:38.202000,214.0,216.0,304.0,303.0,SUPERSOFT,33.0,False,0 days 01:00:51.456000,Ferrari,VET,1,True,2018-04-29 13:06:51.533
28,0 days 01:04:24.709000,5,0 days 00:01:46.507000,29.0,1.0,,,0 days 00:00:37.587000,0 days 00:00:42.750000,0 days 00:00:26.170000,0 days 01:03:15.789000,0 days 01:03:58.539000,0 days 01:04:24.709000,205.0,206.0,307.0,303.0,SUPERSOFT,34.0,False,0 days 01:02:38.202000,Ferrari,VET,1,True,2018-04-29 13:08:38.279
29,0 days 01:06:15.245000,5,0 days 00:01:50.536000,30.0,1.0,,0 days 01:06:13.943000,0 days 00:00:37.445000,0 days 00:00:42.911000,0 days 00:00:30.180000,0 days 01:05:02.154000,0 days 01:05:45.065000,0 days 01:06:15.245000,210.0,215.0,,307.0,SUPERSOFT,35.0,False,0 days 01:04:24.709000,Ferrari,VET,1,False,2018-04-29 13:10:24.786
30,0 days 01:08:17.890000,5,0 days 00:02:02.645000,31.0,2.0,0 days 01:06:33.992000,,0 days 00:00:52.898000,0 days 00:00:43.177000,0 days 00:00:26.570000,0 days 01:07:08.143000,0 days 01:07:51.320000,0 days 01:08:17.890000,204.0,216.0,307.0,304.0,SOFT,1.0,True,0 days 01:06:15.245000,Ferrari,VET,1,False,2018-04-29 13:12:15.322
31,0 days 01:10:04.188000,5,0 days 00:01:46.298000,32.0,2.0,,,0 days 00:00:37.485000,0 days 00:00:42.645000,0 days 00:00:26.168000,0 days 01:08:55.375000,0 days 01:09:38.020000,0 days 01:10:04.188000,209.0,213.0,307.0,305.0,SOFT,2.0,True,0 days 01:08:17.890000,Ferrari,VET,1,True,2018-04-29 13:14:17.967
32,0 days 01:11:50.468000,5,0 days 00:01:46.280000,33.0,2.0,,,0 days 00:00:37.407000,0 days 00:00:42.907000,0 days 00:00:25.966000,0 days 01:10:41.595000,0 days 01:11:24.502000,0 days 01:11:50.468000,214.0,209.0,313.0,308.0,SOFT,3.0,True,0 days 01:10:04.188000,Ferrari,VET,1,True,2018-04-29 13:16:04.265
33,0 days 01:13:36.890000,5,0 days 00:01:46.422000,34.0,2.0,,,0 days 00:00:37.530000,0 days 00:00:42.583000,0 days 00:00:26.309000,0 days 01:12:27.998000,0 days 01:13:10.581000,0 days 01:13:36.890000,205.0,205.0,304.0,302.0,SOFT,4.0,True,0 days 01:11:50.468000,Ferrari,VET,1,True,2018-04-29 13:17:50.545
34,0 days 01:15:22.729000,5,0 days 00:01:45.839000,35.0,2.0,,,0 days 00:00:37.141000,0 days 00:00:42.520000,0 days 00:00:26.178000,0 days 01:14:14.031000,0 days 01:14:56.551000,0 days 01:15:22.729000,211.0,210.0,305.0,302.0,SOFT,5.0,True,0 days 01:13:36.890000,Ferrari,VET,1,True,2018-04-29 13:19:36.967
35,0 days 01:17:08.687000,5,0 days 00:01:45.958000,36.0,2.0,,,0 days 00:00:37.144000,0 days 00:00:42.601000,0 days 00:00:26.213000,0 days 01:15:59.873000,0 days 01:16:42.474000,0 days 01:17:08.687000,206.0,214.0,304.0,304.0,SOFT,6.0,True,0 days 01:15:22.729000,Ferrari,VET,1,True,2018-04-29 13:21:22.806
36,0 days 01:18:54.553000,5,0 days 00:01:45.866000,37.0,2.0,,,0 days 00:00:37.187000,0 days 00:00:42.645000,0 days 00:00:26.034000,0 days 01:17:45.874000,0 days 01:18:28.519000,0 days 01:18:54.553000,212.0,215.0,306.0,306.0,SOFT,7.0,True,0 days 01:17:08.687000,Ferrari,VET,1,True,2018-04-29 13:23:08.764
37,0 days 01:20:40.083000,5,0 days 00:01:45.530000,38.0,2.0,,,0 days 00:00:37.102000,0 days 00:00:42.890000,0 days 00:00:25.538000,0 days 01:19:31.655000,0 days 01:20:14.545000,0 days 01:20:40.083000,207.0,195.0,328.0,313.0,SOFT,8.0,True,0 days 01:18:54.553000,Ferrari,VET,1,True,2018-04-29 13:24:54.630
38,0 days 01:22:26.479000,5,0 days 00:01:46.396000,39.0,2.0,,,0 days 00:00:37.335000,0 days 00:00:42.412000,0 days 00:00:26.649000,0 days 01:21:17.418000,0 days 01:21:59.830000,0 days 01:22:26.479000,208.0,210.0,303.0,301.0,SOFT,9.0,True,0 days 01:20:40.083000,Ferrari,VET,1,True,2018-04-29 13:26:40.160
39,0 days 01:24:27.627000,5,0 days 00:02:01.148000,40.0,2.0,,0 days 01:24:26.324000,0 days 00:00:36.987000,0 days 00:00:42.209000,0 days 00:00:41.952000,0 days 01:23:03.466000,0 days 01:23:45.675000,0 days 01:24:27.627000,216.0,211.0,,206.0,SOFT,10.0,True,0 days 01:22:26.479000,Ferrari,VET,24,False,2018-04-29 13:28:26.556
40,0 days 01:27:27.542000,5,,41.0,3.0,0 days 01:24:47.139000,,0 days 00:01:03.453000,0 days 00:01:03.269000,0 days 00:00:53.121000,0 days 01:25:31.189000,0 days 01:26:34.460000,0 days 01:27:27.542000,118.0,98.0,160.0,129.0,ULTRASOFT,1.0,True,0 days 01:24:27.627000,Ferrari,VET,4,False,2018-04-29 13:30:27.704
41,0 days 01:30:18.203000,5,,42.0,3.0,,,0 days 00:00:56.119000,0 days 00:01:06.674000,0 days 00:00:47.932000,0 days 01:28:23.803000,0 days 01:29:30.271000,0 days 01:30:18.440000,121.0,104.0,147.0,174.0,ULTRASOFT,2.0,True,0 days 01:27:27.542000,Ferrari,VET,4,False,2018-04-29 13:33:27.619
42,0 days 01:33:16.063000,5,,43.0,3.0,,,0 days 00:01:04.768000,0 days 00:01:09.509000,0 days 00:00:43.560000,0 days 01:31:23.076000,0 days 01:32:32.503000,0 days 01:33:16.207000,124.0,65.0,247.0,217.0,ULTRASOFT,3.0,True,0 days 01:30:18.203000,Ferrari,VET,4,False,2018-04-29 13:36:18.280
43,0 days 01:36:04.314000,5,,44.0,3.0,,,0 days 00:00:56.524000,0 days 00:01:13.882000,0 days 00:00:37.873000,0 days 01:34:12.668000,0 days 01:35:26.441000,0 days 01:36:04.494000,137.0,155.0,231.0,211.0,ULTRASOFT,4.0,True,0 days 01:33:16.063000,Ferrari,VET,4,False,2018-04-29 13:39:16.140
44,0 days 01:38:50.835000,5,,45.0,3.0,,,0 days 00:00:53.040000,0 days 00:01:13.624000,0 days 00:00:39.851000,0 days 01:36:57.462000,0 days 01:38:10.984000,0 days 01:38:51.015000,159.0,150.0,206.0,209.0,ULTRASOFT,5.0,True,0 days 01:36:04.314000,Ferrari,VET,4,False,2018-04-29 13:42:04.391
45,0 days 01:41:31.479000,5,,46.0,3.0,,,0 days 00:00:51.432000,0 days 00:01:11.834000,0 days 00:00:37.359000,0 days 01:39:42.364000,0 days 01:40:54.120000,0 days 01:41:31.639000,115.0,164.0,253.0,218.0,ULTRASOFT,6.0,True,0 days 01:38:50.835000,Ferrari,VET,4,False,2018-04-29 13:44:50.912
46,0 days 01:44:18.272000,5,,47.0,3.0,,,0 days 00:00:58.498000,0 days 00:01:10.528000,0 days 00:00:37.782000,0 days 01:42:30.116000,0 days 01:43:40.572000,0 days 01:44:18.506000,113.0,69.0,322.0,311.0,ULTRASOFT,7.0,True,0 days 01:41:31.479000,Ferrari,VET,4,False,2018-04-29 13:47:31.556
47,0 days 01:46:10.248000,5,0 days 00:01:51.976000,48.0,3.0,,,0 days 00:00:40.958000,0 days 00:00:44.837000,0 days 00:00:26.181000,0 days 01:44:59.230000,0 days 01:45:44.067000,0 days 01:46:10.248000,188.0,198.0,305.0,309.0,ULTRASOFT,8.0,True,0 days 01:44:18.272000,Ferrari,VET,1,False,2018-04-29 13:50:18.349
48,0 days 01:47:59.005000,5,0 days 00:01:48.757000,49.0,3.0,,,0 days 00:00:39.181000,0 days 00:00:43.721000,0 days 00:00:25.855000,0 days 01:46:49.429000,0 days 01:47:33.150000,0 days 01:47:59.005000,202.0,195.0,311.0,313.0,ULTRASOFT,9.0,True,0 days 01:46:10.248000,Ferrari,VET,2,True,2018-04-29 13:52:10.325
49,0 days 01:49:45.349000,5,0 days 00:01:46.344000,50.0,3.0,,,0 days 00:00:37.763000,0 days 00:00:42.938000,0 days 00:00:25.643000,0 days 01:48:36.768000,0 days 01:49:19.706000,0 days 01:49:45.349000,204.0,193.0,325.0,314.0,ULTRASOFT,10.0,True,0 days 01:47:59.005000,Ferrari,VET,2,True,2018-04-29 13:53:59.082
50,0 days 01:51:32.104000,5,0 days 00:01:46.755000,51.0,3.0,,,0 days 00:00:37.382000,0 days 00:00:43.328000,0 days 00:00:26.045000,0 days 01:50:22.731000,0 days 01:51:06.059000,0 days 01:51:32.104000,,205.0,250.0,312.0,ULTRASOFT,11.0,True,0 days 01:49:45.349000,Ferrari,VET,1,True,2018-04-29 13:55:45.426
51,0 days 00:10:12.379000,44,,1.0,1.0,0 days 00:00:04.180000,,,0 days 00:01:04.609000,0 days 00:00:42.450000,,0 days 00:09:29.929000,0 days 00:10:12.448000,179.0,141.0,169.0,189.0,,,,0 days 00:07:42.253000,Mercedes,HAM,24,False,2018-04-29 12:13:42.330
52,0 days 00:13:21.027000,44,,2.0,1.0,,,0 days 00:01:15.079000,0 days 00:01:02.616000,0 days 00:00:50.914000,0 days 00:11:27.597000,0 days 00:12:30.113000,0 days 00:13:21.071000,124.0,149.0,200.0,158.0,SUPERSOFT,8.0,False,0 days 00:10:12.379000,Mercedes,HAM,4,False,2018-04-29 12:16:12.456
53,0 days 00:15:54.456000,44,,3.0,1.0,,,0 days 00:00:55.886000,0 days 00:01:03.323000,0 days 00:00:34.157000,0 days 00:14:17.120000,0 days 00:15:20.299000,0 days 00:15:54.671000,109.0,133.0,259.0,258.0,SUPERSOFT,9.0,False,0 days 00:13:21.027000,Mercedes,HAM,4,False,2018-04-29 12:19:21.104
54,0 days 00:18:29.126000,44,,4.0,1.0,,,0 days 00:00:56.593000,0 days 00:01:01.167000,0 days 00:00:36.908000,0 days 00:16:51.055000,0 days 00:17:52.218000,0 days 00:18:29.192000,138.0,139.0,244.0,218.0,SUPERSOFT,10.0,False,0 days 00:15:54.456000,Mercedes,HAM,4,False,2018-04-29 12:21:54.533
55,0 days 00:21:30.975000,44,,5.0,1.0,,,0 days 00:00:53.581000,0 days 00:01:05.503000,0 days 00:01:02.857000,0 days 00:19:22.794000,0 days 00:20:28.256000,0 days 00:21:31.145000,123.0,101.0,288.0,86.0,SUPERSOFT,11.0,False,0 days 00:18:29.126000,Mercedes,HAM,4,False,2018-04-29 12:24:29.203
56,0 days 00:23:24.436000,44,0 days 00:01:53.461000,6.0,1.0,,,0 days 00:00:41.255000,0 days 00:00:45.554000,0 days 00:00:26.652000,0 days 00:22:12.230000,0 days 00:22:57.784000,0 days 00:23:24.436000,180.0,203.0,307.0,305.0,SUPERSOFT,12.0,False,0 days 00:21:30.975000,Mercedes,HAM,1,False,2018-04-29 12:27:31.052
57,0 days 00:25:14.298000,44,0 days 00:01:49.862000,7.0,1.0,,,0 days 00:00:39.190000,0 days 00:00:44.398000,0 days 00:00:26.274000,0 days 00:24:03.626000,0 days 00:24:48.024000,0 days 00:25:14.298000,193.0,205.0,305.0,307.0,SUPERSOFT,13.0,False,0 days 00:23:24.436000,Mercedes,HAM,1,True,2018-04-29 12:29:24.513
58,0 days 00:27:02.674000,44,0 days 00:01:48.376000,8.0,1.0,,,0 days 00:00:38.250000,0 days 00:00:43.920000,0 days 00:00:26.206000,0 days 00:25:52.548000,0 days 00:26:36.468000,0 days 00:27:02.674000,198.0,201.0,310.0,310.0,SUPERSOFT,14.0,False,0 days 00:25:14.298000,Mercedes,HAM,1,True,2018-04-29 12:31:14.375
59,0 days 00:28:50.488000,44,0 days 00:01:47.814000,9.0,1.0,,,0 days 00:00:37.999000,0 days 00:00:43.559000,0 days 00:00:26.256000,0 days 00:27:40.673000,0 days 00:28:24.232000,0 days 00:28:50.488000,211.0,203.0,309.0,309.0,SUPERSOFT,15.0,False,0 days 00:27:02.674000,Mercedes,HAM,1,True,2018-04-29 12:33:02.751
60,0 days 00:30:37.680000,44,0 days 00:01:47.192000,10.0,1.0,,,0 days 00:00:37.598000,0 days 00:00:43.366000,0 days 00:00:26.228000,0 days 00:29:28.086000,0 days 00:30:11.452000,0 days 00:30:37.680000,190.0,208.0,306.0,308.0,SUPERSOFT,16.0,False,0 days 00:28:50.488000,Mercedes,HAM,2,True,2018-04-29 12:34:50.565
61,0 days 00:32:24.733000,44,0 days 00:01:47.053000,11.0,1.0,,,0 days 00:00:37.794000,0 days 00:00:43.229000,0 days 00:00:26.030000,0 days 00:31:15.474000,0 days 00:31:58.703000,0 days 00:32:24.733000,199.0,213.0,310.0,309.0,SUPERSOFT,17.0,False,0 days 00:30:37.680000,Mercedes,HAM,2,True,2018-04-29 12:36:37.757
62,0 days 00:34:12.722000,44,0 days 00:01:47.989000,12.0,1.0,,,0 days 00:00:37.825000,0 days 00:00:44.147000,0 days 00:00:26.017000,0 days 00:33:02.558000,0 days 00:33:46.705000,0 days 00:34:12.722000,189.0,215.0,308.0,308.0,SUPERSOFT,18.0,False,0 days 00:32:24.733000,Mercedes,HAM,1,True,2018-04-29 12:38:24.810
63,0 days 00:35:59.736000,44,0 days 00:01:47.014000,13.0,1.0,,,0 days 00:00:37.812000,0 days 00:00:43.099000,0 days 00:00:26.103000,0 days 00:34:50.534000,0 days 00:35:33.633000,0 days 00:35:59.736000,192.0,213.0,311.0,308.0,SUPERSOFT,19.0,False,0 days 00:34:12.722000,Mercedes,HAM,1,True,2018-04-29 12:40:12.799
64,0 days 00:37:47.160000,44,0 days 00:01:47.424000,14.0,1.0,,,0 days 00:00:37.654000,0 days 00:00:43.733000,0 days 00:00:26.037000,0 days 00:36:37.390000,0 days 00:37:21.123000,0 days 00:37:47.160000,202.0,214.0,310.0,308.0,SUPERSOFT,20.0,False,0 days 00:35:59.736000,Mercedes,HAM,1,True,2018-04-29 12:41:59.813
65,0 days 00:39:34.970000,44,0 days 00:01:47.810000,15.0,1.0,,,0 days 00:00:37.682000,0 days 00:00:43.016000,0 days 00:00:27.112000,0 days 00:38:24.842000,0 days 00:39:07.858000,0 days 00:39:34.970000,195.0,219.0,311.0,309.0,SUPERSOFT,21.0,False,0 days 00:37:47.160000,Mercedes,HAM,2,True,2018-04-29 12:43:47.237
66,0 days 00:41:22.023000,44,0 days 00:01:47.053000,16.0,1.0,,,0 days 00:00:37.608000,0 days 00:00:42.965000,0 days 00:00:26.480000,0 days 00:40:12.578000,0 days 00:40:55.543000,0 days 00:41:22.023000,203.0,215.0,310.0,309.0,SUPERSOFT,22.0,False,0 days 00:39:34.970000,Mercedes,HAM,1,True,2018-04-29 12:45:35.047
67,0 days 00:43:09.040000,44,0 days 00:01:47.017000,17.0,1.0,,,0 days 00:00:37.660000,0 days 00:00:43.155000,0 days 00:00:26.202000,0 days 00:41:59.683000,0 days 00:42:42.838000,0 days 00:43:09.040000,,208.0,306.0,310.0,SUPERSOFT,23.0,False,0 days 00:41:22.023000,Mercedes,HAM,1,True,2018-04-29 12:47:22.100
68,0 days 00:44:55.637000,44,0 days 00:01:46.597000,18.0,1.0,,,0 days 00:00:37.677000,0 days 00:00:42.914000,0 days 00:00:26.006000,0 days 00:43:46.717000,0 days 00:44:29.631000,0 days 00:44:55.637000,201.0,213.0,311.0,310.0,SUPERSOFT,24.0,False,0 days 00:43:09.040000,Mercedes,HAM,2,True,2018-04-29 12:49:09.117
69,0 days 00:46:41.968000,44,0 days 00:01:46.331000,19.0,1.0,,,0 days 00:00:37.460000,0 days 00:00:42.831000,0 days 00:00:26.040000,0 days 00:45:33.097000,0 days 00:46:15.928000,0 days 00:46:41.968000,202.0,212.0,306.0,309.0,SUPERSOFT,25.0,False,0 days 00:44:55.637000,Mercedes,HAM,1,True,2018-04-29 12:50:55.714
70,0 days 00:48:28.088000,44,0 days 00:01:46.120000,20.0,1.0,,,0 days 00:00:37.383000,0 days 00:00:42.815000,0 days 00:00:25.922000,0 days 00:47:19.351000,0 days 00:48:02.166000,0 days 00:48:28.088000,,211.0,313.0,310.0,SUPERSOFT,26.0,False,0 days 00:46:41.968000,Mercedes,HAM,1,True,2018-04-29 12:52:42.045
71,0 days 00:50:14.403000,44,0 days 00:01:46.315000,21.0,1.0,,,0 days 00:00:37.385000,0 days 00:00:43.051000,0 days 00:00:25.879000,0 days 00:49:05.473000,0 days 00:49:48.524000,0 days 00:50:14.403000,195.0,218.0,304.0,309.0,SUPERSOFT,27.0,False,0 days 00:48:28.088000,Mercedes,HAM,2,True,2018-04-29 12:54:28.165
72,0 days 00:52:09.574000,44,0 days 00:01:55.171000,22.0,1.0,,0 days 00:52:08.205000,0 days 00:00:40.878000,0 days 00:00:43.704000,0 days 00:00:30.589000,0 days 00:50:55.281000,0 days 00:51:38.985000,0 days 00:52:09.574000,184.0,211.0,,309.0,SUPERSOFT,28.0,False,0 days 00:50:14.403000,Mercedes,HAM,1,False,2018-04-29 12:56:14.480
73,0 days 00:54:13.789000,44,0 days 00:02:04.215000,23.0,2.0,0 days 00:52:28.551000,,0 days 00:00:54.274000,0 days 00:00:43.853000,0 days 00:00:26.088000,0 days 00:53:03.848000,0 days 00:53:47.701000,0 days 00:54:13.789000,195.0,206.0,300.0,309.0,SOFT,1.0,True,0 days 00:52:09.574000,Mercedes,HAM,1,False,2018-04-29 12:58:09.651
