DriverNumber,Driver,LapNumber,TotalLaps,LapsRemain,LapTime,Seconds,FuelMultiplier,FB_y,FuelBurnConstant,Adj_FB,Adj_LapTime_FB,quali_delta,Stint,Compound_Label,Compound,TyreLife,TyreLife_perc,FreshTyre,LapStartTime,Team,TrackStatus,LapStartDate,ahead,gap_ahead,race,fq
6,LAT,29,56,27,01:39.7,99.666,1.107,0.62,0.041,97.939,98.559,6.003,2,C3,MEDIUM,15,26.78571429,TRUE,0 days 01:25:54.881000,Williams,1,55:54.9,55:43.7,11.197,bahrain,91.936
9,MAZ,13,53,40,01:41.8,101.816,1.64,0.62,0.041,99.556,100.176,6.002,1,C2,HARD,13,24.52830189,TRUE,54:07.6,Haas F1 Team,1,24:07.6,24:00.9,6.654,france,93.554
14,ALO,6,56,50,01:44.4,104.428,2.05,0.62,0.041,101.758,102.378,6.002,1,C3,MEDIUM,6,10.71428571,TRUE,0 days 01:11:34.696000,Alpine F1 Team,1,12:36.4,12:35.6,0.795,us,95.756
31,OCO,17,56,39,01:43.6,103.598,1.599,0.62,0.041,101.379,101.999,6.002,2,C2,HARD,14,25,TRUE,0 days 01:31:08.821000,Alpine F1 Team,1,32:10.6,32:09.0,1.614,us,95.377
77,BOT,30,56,26,01:41.2,101.162,1.066,0.62,0.041,99.476,100.096,6.001,2,C2,HARD,15,26.78571429,TRUE,0 days 01:52:51.159000,Mercedes,1,53:52.9,53:49.5,3.418,us,93.475
99,GIO,33,53,20,01:39.3,99.253,0.82,0.62,0.041,97.813,98.433,6,2,C3,MEDIUM,5,9.433962264,TRUE,0 days 01:28:00.429000,Alfa Romeo,1,58:00.4,57:58.2,2.283,france,91.813
47,MSC,15,66,51,01:27.8,87.827,2.091,0.62,0.041,85.116,85.736,5.999,1,C3,SOFT,15,22.72727273,TRUE,55:00.7,Haas F1 Team,1,25:00.7,24:58.2,2.495,spain,79.117
55,SAI,31,56,25,01:41.4,101.436,1.025,0.62,0.041,99.791,100.411,5.999,3,C2,HARD,,0,TRUE,0 days 01:54:47.019000,Ferrari,1,55:48.8,55:34.1,14.698,us,93.792
77,BOT,61,66,5,01:23.7,83.695,0.205,0.62,0.041,82.87,83.49,5.997,3,C3,SOFT,11,16.66666667,FALSE,0 days 01:58:45.624000,Mercedes,1,28:45.6,28:21.5,24.167,spain,76.873
6,LAT,7,53,46,01:41.6,101.564,1.886,0.62,0.041,99.058,99.678,5.996,1,C3,MEDIUM,7,13.20754717,TRUE,43:54.0,Williams,1,13:54.1,13:51.2,2.872,france,93.062
10,GAS,19,53,34,01:38.9,98.878,1.394,0.62,0.041,96.864,97.484,5.996,2,C2,HARD,2,3.773584906,TRUE,0 days 01:04:14.239000,AlphaTauri,1,34:14.2,34:13.5,0.789,france,90.868
63,RUS,51,53,2,01:38.8,98.763,0.082,0.62,0.041,98.061,98.681,5.996,2,C2,HARD,34,64.1509434,TRUE,0 days 01:57:43.208000,Williams,1,27:43.2,27:31.6,11.648,france,92.065
33,VER,24,56,32,01:40.8,100.838,1.312,0.62,0.041,98.906,99.526,5.996,2,C2,HARD,14,25,TRUE,0 days 01:41:43.703000,Red Bull,1,42:45.5,LEAD,LEAD!,us,92.91
4,NOR,36,56,20,01:41.3,101.316,0.82,0.62,0.041,99.876,100.496,5.996,3,C2,HARD,6,10.71428571,TRUE,0 days 02:03:20.166000,McLaren,1,04:21.9,04:19.6,2.272,us,93.88
63,RUS,50,56,6,01:42.6,102.592,0.246,0.62,0.041,101.726,102.346,5.996,3,C2,HARD,19,33.92857143,TRUE,0 days 02:28:04.440000,Williams,1,29:06.2,29:01.1,5.059,us,95.73
63,RUS,26,53,27,01:39.8,99.787,1.107,0.62,0.041,98.06,98.68,5.995,2,C2,HARD,9,16.98113208,TRUE,0 days 01:16:08.805000,Williams,1,46:08.8,46:05.4,3.367,france,92.065
9,MAZ,51,53,2,01:40.3,100.251,0.082,0.62,0.041,99.549,100.169,5.995,2,C3,MEDIUM,20,37.73584906,TRUE,0 days 01:58:36.916000,Haas F1 Team,1,28:36.9,28:28.5,8.384,france,93.554
47,MSC,5,56,51,01:45.2,105.205,2.091,0.62,0.041,102.494,103.114,5.995,1,C3,MEDIUM,5,8.928571429,TRUE,0 days 01:09:52.105000,Haas F1 Team,1,10:53.9,10:53.2,0.639,us,96.499
3,RIC,45,53,8,01:38.3,98.324,0.328,0.62,0.041,97.376,97.996,5.994,2,C2,HARD,29,54.71698113,TRUE,0 days 01:47:18.743000,McLaren,1,17:18.8,17:12.7,6.082,france,91.382
63,RUS,39,72,33,01:18.3,78.298,1.353,0.62,0.041,76.325,76.945,5.993,2,C1,HARD,12,16.66666667,TRUE,0 days 01:51:37.906000,Williams,1,52:37.9,52:36.7,1.199,dutch,70.332
47,MSC,10,53,43,01:41.3,101.318,1.763,0.62,0.041,98.935,99.555,5.993,1,C3,MEDIUM,10,18.86792453,TRUE,49:07.0,Haas F1 Team,1,19:07.0,19:02.3,4.613,france,92.942
16,LEC,38,56,18,01:41.0,100.957,0.738,0.62,0.041,99.599,100.219,5.993,3,C2,HARD,6,10.71428571,TRUE,0 days 02:06:14.163000,Ferrari,1,07:15.9,07:05.1,10.801,us,93.606
44,HAM,6,53,47,01:38.8,98.787,1.927,0.62,0.041,96.24,96.86,5.992,1,C3,MEDIUM,9,16.98113208,FALSE,41:50.0,Mercedes,1,11:50.0,LEAD,LEAD!,france,90.248
3,RIC,2,78,76,01:21.3,81.326,3.116,0.62,0.041,77.59,78.21,5.992,1,C4,MEDIUM,2,2.564102564,TRUE,34:28.5,McLaren,1,04:29.3,04:28.6,0.617,monaco,71.598
7,RAI,20,53,33,01:41.3,101.318,1.353,0.62,0.041,99.345,99.965,5.991,1,C2,HARD,20,37.73584906,TRUE,0 days 01:05:46.167000,Alfa Romeo,1,35:46.2,35:44.3,1.91,france,93.354
9,MAZ,45,66,21,01:28.4,88.384,0.861,0.62,0.041,86.903,87.523,5.991,5,C3,SOFT,2,3.03030303,TRUE,0 days 01:40:27.076000,Haas F1 Team,1,10:27.1,09:31.2,55.929,portugal,80.912
99,GIO,31,66,35,01:26.4,86.402,1.435,0.62,0.041,84.347,84.967,5.991,2,C2,MEDIUM,26,39.39393939,FALSE,0 days 01:17:56.492000,Alfa Romeo,1,47:56.5,47:54.8,1.695,spain,78.356
9,MAZ,34,66,32,01:27.7,87.73,1.312,0.62,0.041,85.798,86.418,5.991,2,C2,MEDIUM,12,18.18181818,TRUE,0 days 01:22:44.125000,Haas F1 Team,1,52:44.1,52:27.3,16.788,spain,79.807
55,SAI,44,56,12,01:40.9,100.892,0.492,0.62,0.041,99.78,100.4,5.988,3,C2,HARD,,0,TRUE,0 days 02:16:39.076000,Ferrari,1,17:40.8,17:39.8,0.997,us,93.792
47,MSC,37,53,16,01:40.2,100.204,0.656,0.62,0.041,98.928,99.548,5.986,2,C2,HARD,22,41.50943396,TRUE,0 days 01:35:09.399000,Haas F1 Team,1,05:09.4,04:49.8,19.593,france,92.942
9,MAZ,32,66,34,01:27.8,87.806,1.394,0.62,0.041,85.792,86.412,5.985,2,C2,MEDIUM,10,15.15151515,TRUE,0 days 01:19:50.853000,Haas F1 Team,1,49:50.9,49:38.8,12.047,spain,79.807
99,GIO,4,56,52,01:44.5,104.531,2.132,0.62,0.041,101.779,102.399,5.985,1,C3,MEDIUM,4,7.142857143,TRUE,0 days 01:08:01.947000,Alfa Romeo,1,09:03.7,09:02.7,1.012,us,95.794
16,LEC,11,56,45,01:42.1,102.056,1.845,0.62,0.041,99.591,100.211,5.985,1,C3,MEDIUM,14,25,FALSE,0 days 01:19:50.252000,Ferrari,1,20:52.0,20:41.9,10.094,us,93.606
9,MAZ,8,53,45,01:42.0,102.003,1.845,0.62,0.041,99.538,100.158,5.984,1,C2,HARD,8,15.09433962,TRUE,45:39.0,Haas F1 Team,1,15:39.1,15:36.1,2.945,france,93.554
77,BOT,61,71,10,01:22.9,82.889,0.41,0.62,0.041,81.859,82.479,5.984,3,C3,MEDIUM,21,29.57746479,TRUE,0 days 02:28:10.941000,Mercedes,1,29:12.3,29:09.4,2.96,mexico,75.875
4,NOR,47,56,9,01:40.9,100.853,0.369,0.62,0.041,99.864,100.484,5.984,3,C2,HARD,17,30.35714286,TRUE,0 days 02:21:46.516000,McLaren,1,22:48.3,22:44.2,4.105,us,93.88
11,PER,34,53,19,01:37.8,97.827,0.779,0.62,0.041,96.428,97.048,5.983,2,C2,HARD,10,18.86792453,TRUE,0 days 01:28:28.053000,Red Bull,1,58:28.1,58:16.6,11.419,france,90.445
31,OCO,37,53,16,01:39.0,98.995,0.656,0.62,0.041,97.719,98.339,5.983,2,C3,MEDIUM,12,22.64150943,FALSE,0 days 01:34:33.335000,Alpine F1 Team,1,04:33.3,04:29.7,3.627,france,91.736
63,RUS,22,56,34,01:43.7,103.726,1.394,0.62,0.041,101.712,102.332,5.982,2,C2,HARD,,0,TRUE,0 days 01:39:33.115000,Williams,1,40:34.9,40:33.2,1.713,us,95.73
33,VER,41,53,12,01:37.1,97.081,0.492,0.62,0.041,95.969,96.589,5.979,3,C3,MEDIUM,12,22.64150943,FALSE,0 days 01:39:48.101000,Red Bull,1,09:48.1,09:43.7,4.458,france,89.99
3,RIC,34,56,22,01:41.3,101.309,0.902,0.62,0.041,99.787,100.407,5.979,3,C2,HARD,4,7.142857143,TRUE,0 days 01:59:47.856000,McLaren,1,00:49.6,00:37.5,12.09,us,93.808
3,RIC,47,56,9,01:40.8,100.774,0.369,0.62,0.041,99.785,100.405,5.977,3,C2,HARD,17,30.35714286,TRUE,0 days 02:21:39.812000,McLaren,1,22:41.6,22:19.1,22.493,us,93.808
18,STR,27,53,26,01:39.8,99.784,1.066,0.62,0.041,98.098,98.718,5.976,1,C2,HARD,27,50.94339623,TRUE,0 days 01:17:26.554000,Aston Martin,1,47:26.6,47:16.8,9.79,france,92.122
5,VET,25,56,31,01:43.1,103.148,1.271,0.62,0.041,101.257,101.877,5.976,2,C3,MEDIUM,10,17.85714286,FALSE,0 days 01:44:45.659000,Aston Martin,1,45:47.4,45:46.4,0.963,us,95.281
22,TSU,29,56,27,01:42.6,102.618,1.107,0.62,0.041,100.891,101.511,5.973,2,C2,HARD,20,35.71428571,TRUE,0 days 01:51:29.283000,AlphaTauri,1,52:31.0,52:12.1,18.953,us,94.918
7,RAI,35,66,31,01:26.8,86.779,1.271,0.62,0.041,84.888,85.508,5.971,1,C2,MEDIUM,35,53.03030303,TRUE,0 days 01:23:21.426000,Alfa Romeo,1,53:21.4,53:12.2,9.214,spain,78.917
3,RIC,13,56,43,01:42.2,102.161,1.763,0.62,0.041,99.778,100.398,5.97,2,C2,HARD,2,3.571428571,TRUE,0 days 01:23:39.134000,McLaren,1,24:40.9,24:39.7,1.186,us,93.808
4,NOR,22,66,44,01:26.9,86.873,1.804,0.62,0.041,84.449,85.069,5.968,3,C3,SOFT,26,39.39393939,FALSE,0 days 01:06:06.004000,McLaren,1,36:06.0,36:00.9,5.128,portugal,78.481
63,RUS,59,71,12,01:25.0,85.037,0.492,0.62,0.041,83.925,84.545,5.967,2,C2,HARD,44,61.97183099,TRUE,0 days 02:26:00.862000,Williams,1,27:02.3,26:54.8,7.435,mexico,77.958
47,MSC,4,56,52,01:45.2,105.217,2.132,0.62,0.041,102.465,103.085,5.966,1,C3,MEDIUM,4,7.142857143,TRUE,0 days 01:08:06.888000,Haas F1 Team,1,09:08.6,09:08.2,0.462,us,96.499
7,RAI,3,56,53,01:45.1,105.068,2.173,0.62,0.041,102.275,102.895,5.964,1,C3,MEDIUM,3,5.357142857,TRUE,0 days 01:06:17.499000,Alfa Romeo,1,07:19.2,07:18.7,0.517,us,96.311
63,RUS,23,53,30,01:39.9,99.877,1.23,0.62,0.041,98.027,98.647,5.962,2,C2,HARD,6,11.32075472,TRUE,0 days 01:11:07.964000,Williams,1,41:08.0,41:05.9,2.071,france,92.065
63,RUS,23,56,33,01:43.7,103.665,1.353,0.62,0.041,101.692,102.312,5.962,2,C2,HARD,,0,TRUE,0 days 01:41:16.841000,Williams,1,42:18.6,42:16.9,1.702,us,95.73
18,STR,11,66,55,01:26.8,86.81,2.255,0.62,0.041,83.935,84.555,5.961,1,C3,SOFT,11,16.66666667,TRUE,49:09.4,Aston Martin,1,19:09.4,19:08.9,0.488,spain,77.974
99,GIO,38,53,15,01:39.0,99.007,0.615,0.62,0.041,97.772,98.392,5.959,2,C3,MEDIUM,10,18.86792453,TRUE,0 days 01:36:15.606000,Alfa Romeo,1,06:15.6,06:12.3,3.276,france,91.813
3,RIC,15,56,41,01:42.1,102.067,1.681,0.62,0.041,99.766,100.386,5.958,2,C2,HARD,4,7.142857143,TRUE,0 days 01:27:03.223000,McLaren,1,28:05.0,28:02.7,2.264,us,93.808
6,LAT,33,53,20,01:40.5,100.459,0.82,0.62,0.041,99.019,99.639,5.957,2,C2,HARD,,0,TRUE,0 days 01:28:01.994000,Williams,1,58:02.0,58:00.4,1.565,france,93.062
77,BOT,19,56,37,01:41.6,101.567,1.517,0.62,0.041,99.43,100.05,5.955,2,C2,HARD,4,7.142857143,TRUE,0 days 01:34:11.722000,Mercedes,1,35:13.5,35:12.7,0.757,us,93.475
9,MAZ,12,53,41,01:41.8,101.809,1.681,0.62,0.041,99.508,100.128,5.954,1,C2,HARD,12,22.64150943,TRUE,52:25.8,Haas F1 Team,1,22:25.8,22:20.5,5.335,france,93.554
9,MAZ,42,66,24,01:28.5,88.47,0.984,0.62,0.041,86.866,87.486,5.954,4,C1,HARD,11,16.66666667,TRUE,0 days 01:35:35.064000,Haas F1 Team,1,05:35.1,05:18.3,16.758,portugal,80.912
5,VET,2,66,64,01:27.3,87.277,2.624,0.62,0.041,84.033,84.653,5.954,1,C3,SOFT,2,3.03030303,TRUE,34:53.8,Aston Martin,1,04:53.8,04:53.4,0.412,spain,78.079
11,PER,25,66,41,01:25.9,85.924,1.681,0.62,0.041,83.623,84.243,5.954,1,C3,SOFT,28,42.42424242,FALSE,0 days 01:08:53.182000,Red Bull,1,38:53.2,38:51.9,1.248,spain,77.669
33,VER,23,56,33,01:40.8,100.837,1.353,0.62,0.041,98.864,99.484,5.954,2,C2,HARD,13,23.21428571,TRUE,0 days 01:40:02.860000,Red Bull,1,41:04.6,LEAD,LEAD!,us,92.91
47,MSC,67,72,5,01:18.2,78.165,0.205,0.62,0.041,77.34,77.96,5.953,3,C2,MEDIUM,37,51.38888889,TRUE,0 days 02:29:23.824000,Haas F1 Team,1,30:23.8,29:00.4,23.434,dutch,71.387
47,MSC,11,66,55,01:27.9,87.945,2.255,0.62,0.041,85.07,85.69,5.953,1,C3,SOFT,11,16.66666667,TRUE,49:11.5,Haas F1 Team,1,19:11.5,19:11.1,0.431,spain,79.117
31,OCO,57,66,9,01:24.5,84.52,0.369,0.62,0.041,83.531,84.151,5.951,2,C2,MEDIUM,34,51.51515152,TRUE,0 days 01:54:13.939000,Alpine F1 Team,1,24:13.9,23:58.6,15.376,spain,77.58
31,OCO,58,66,8,01:24.5,84.479,0.328,0.62,0.041,83.531,84.151,5.951,2,C2,MEDIUM,35,53.03030303,TRUE,0 days 01:55:38.459000,Alpine F1 Team,1,25:38.5,25:20.6,17.844,spain,77.58
9,MAZ,31,56,25,01:44.4,104.39,1.025,0.62,0.041,102.745,103.365,5.949,3,C3,MEDIUM,7,12.5,TRUE,0 days 01:56:40.916000,Haas F1 Team,1,57:42.7,56:55.7,46.952,us,96.796
33,VER,25,53,28,01:37.7,97.706,1.148,0.62,0.041,95.938,96.558,5.948,2,C2,HARD,7,13.20754717,TRUE,0 days 01:13:28.617000,Red Bull,1,43:28.6,LEAD,LEAD!,france,89.99
10,GAS,58,66,8,01:24.9,84.878,0.328,0.62,0.041,83.93,84.55,5.948,3,C3,SOFT,11,16.66666667,TRUE,0 days 01:55:56.537000,AlphaTauri,1,25:56.5,25:55.9,0.633,spain,77.982
3,RIC,33,56,23,01:41.3,101.318,0.943,0.62,0.041,99.755,100.375,5.947,3,C2,HARD,3,5.357142857,TRUE,0 days 01:58:06.538000,McLaren,1,59:08.3,58:55.4,12.883,us,93.808
55,SAI,39,56,17,01:41.1,101.056,0.697,0.62,0.041,99.739,100.359,5.947,3,C2,HARD,,0,TRUE,0 days 02:08:15.135000,Ferrari,1,09:16.9,09:15.5,1.405,us,93.792
16,LEC,6,56,50,01:38.3,98.294,2.05,0.62,0.041,95.624,96.244,5.946,1,C4,SOFT,9,16.07142857,FALSE,47:40.9,Ferrari,1,17:40.9,17:39.1,1.758,bahrain,89.678
18,STR,9,53,44,01:40.5,100.492,1.804,0.62,0.041,98.068,98.688,5.946,1,C2,HARD,9,16.98113208,TRUE,47:11.9,Aston Martin,1,17:11.9,17:11.1,0.731,france,92.122
18,STR,40,53,13,01:39.2,99.219,0.533,0.62,0.041,98.066,98.686,5.944,2,C3,MEDIUM,6,11.32075472,TRUE,0 days 01:39:26.358000,Aston Martin,1,09:26.4,09:24.7,1.657,france,92.122
3,RIC,71,72,1,01:16.5,76.469,0.041,0.62,0.041,75.808,76.428,5.943,2,C1,HARD,41,56.94444444,TRUE,0 days 02:32:02.505000,McLaren,1,33:02.5,32:50.2,12.32,dutch,69.865
4,NOR,38,53,15,01:38.4,98.43,0.615,0.62,0.041,97.195,97.815,5.943,2,C2,HARD,14,26.41509434,TRUE,0 days 01:35:42.466000,McLaren,1,05:42.5,05:00.6,41.909,france,91.252
4,NOR,51,53,2,01:37.9,97.895,0.082,0.62,0.041,97.193,97.813,5.941,2,C2,HARD,27,50.94339623,TRUE,0 days 01:57:03.496000,McLaren,1,27:03.5,26:12.3,51.226,france,91.252
22,TSU,30,78,48,01:20.6,80.625,1.968,0.62,0.041,78.037,78.657,5.941,1,C3,HARD,30,38.46153846,TRUE,0 days 01:11:17.057000,AlphaTauri,1,41:17.8,41:17.3,0.492,monaco,72.096
4,NOR,12,56,44,01:42.2,102.244,1.804,0.62,0.041,99.82,100.44,5.94,2,C2,HARD,,0,TRUE,0 days 01:22:01.568000,McLaren,1,23:03.3,23:02.9,0.392,us,93.88
18,STR,39,72,33,01:18.3,78.278,1.353,0.62,0.041,76.305,76.925,5.938,2,C1,HARD,12,16.66666667,TRUE,0 days 01:51:38.642000,Aston Martin,1,52:38.7,52:37.9,0.736,dutch,70.367
33,VER,32,56,24,01:40.5,100.452,0.984,0.62,0.041,98.848,99.468,5.938,3,C2,HARD,3,5.357142857,TRUE,0 days 01:55:39.574000,Red Bull,1,56:41.3,56:24.5,16.786,us,92.91
6,LAT,16,56,40,01:44.2,104.19,1.64,0.62,0.041,101.93,102.55,5.935,2,C2,HARD,11,19.64285714,TRUE,0 days 01:29:23.017000,Williams,1,30:24.8,30:11.7,13.052,us,95.995
33,VER,27,56,29,01:40.7,100.653,1.189,0.62,0.041,98.844,99.464,5.934,2,C2,HARD,17,30.35714286,TRUE,0 days 01:46:47.249000,Red Bull,1,47:49.0,LEAD,LEAD!,us,92.91
7,RAI,21,53,32,01:41.2,101.219,1.312,0.62,0.041,99.287,99.907,5.933,1,C2,HARD,21,39.62264151,TRUE,0 days 01:07:27.485000,Alfa Romeo,1,37:27.5,37:25.9,1.601,france,93.354
44,HAM,25,53,28,01:37.9,97.947,1.148,0.62,0.041,96.179,96.799,5.931,2,C2,HARD,6,11.32075472,TRUE,0 days 01:13:29.227000,Mercedes,1,43:29.2,43:28.6,0.61,france,90.248
7,RAI,31,56,25,01:43.9,103.887,1.025,0.62,0.041,102.242,102.862,5.931,2,C3,MEDIUM,19,33.92857143,TRUE,0 days 01:54:59.120000,Alfa Romeo,1,56:00.9,55:57.0,3.824,us,96.311
7,RAI,41,56,15,01:43.5,103.477,0.615,0.62,0.041,102.242,102.862,5.931,3,C2,HARD,10,17.85714286,TRUE,0 days 02:12:21.176000,Alfa Romeo,1,13:22.9,13:21.6,1.356,us,96.311
44,HAM,26,53,27,01:37.9,97.905,1.107,0.62,0.041,96.178,96.798,5.93,2,C2,HARD,7,13.20754717,TRUE,0 days 01:15:07.174000,Mercedes,1,45:07.2,45:06.3,0.851,france,90.248
6,LAT,20,56,36,01:44.0,104.021,1.476,0.62,0.041,101.925,102.545,5.93,2,C2,HARD,15,26.78571429,TRUE,0 days 01:36:19.597000,Williams,1,37:21.3,37:17.5,3.895,us,95.995
44,HAM,7,56,49,01:41.7,101.677,2.009,0.62,0.041,99.048,99.668,5.929,1,C3,MEDIUM,10,17.85714286,FALSE,0 days 01:12:48.622000,Mercedes,1,13:50.4,LEAD,LEAD!,us,93.119
99,GIO,22,56,34,01:43.7,103.737,1.394,0.62,0.041,101.723,102.343,5.929,2,C3,MEDIUM,17,30.35714286,FALSE,0 days 01:39:31.402000,Alfa Romeo,1,40:33.2,40:31.0,2.191,us,95.794
31,OCO,37,56,19,01:42.7,102.705,0.779,0.62,0.041,101.306,101.926,5.929,3,C3,MEDIUM,15,26.78571429,FALSE,0 days 02:06:11.279000,Alpine F1 Team,1,07:13.0,07:11.7,1.339,us,95.377
3,RIC,61,78,17,01:18.8,78.843,0.697,0.62,0.041,77.526,78.146,5.928,2,C3,HARD,25,32.05128205,TRUE,0 days 01:50:50.503000,McLaren,1,20:51.3,20:45.0,6.294,monaco,71.598
9,MAZ,10,53,43,01:41.9,101.864,1.763,0.62,0.041,99.481,100.101,5.927,1,C2,HARD,10,18.86792453,TRUE,49:02.3,Haas F1 Team,1,19:02.3,18:58.6,3.735,france,93.554
77,BOT,34,53,19,01:37.7,97.702,0.779,0.62,0.041,96.303,96.923,5.927,2,C2,HARD,17,32.0754717,TRUE,0 days 01:28:16.634000,Mercedes,1,58:16.6,58:12.8,3.857,france,90.376
4,NOR,45,53,8,01:38.1,98.126,0.328,0.62,0.041,97.178,97.798,5.926,2,C2,HARD,21,39.62264151,TRUE,0 days 01:47:12.661000,McLaren,1,17:12.7,16:21.3,51.383,france,91.252
10,GAS,16,56,40,01:38.0,97.993,1.64,0.62,0.041,95.733,96.353,5.924,2,C2,HARD,12,21.42857143,TRUE,0 days 01:04:43.254000,AlphaTauri,1,34:43.3,34:38.3,4.938,bahrain,89.809
47,MSC,44,72,28,01:19.1,79.079,1.148,0.62,0.041,77.311,77.931,5.924,3,C2,MEDIUM,14,19.44444444,TRUE,0 days 01:59:40.878000,Haas F1 Team,1,00:40.9,59:39.6,1.289,dutch,71.387
6,LAT,63,72,9,01:17.0,77.006,0.369,0.62,0.041,76.017,76.637,5.924,4,C1,HARD,40,55.55555556,TRUE,0 days 02:22:44.910000,Williams,1,23:44.9,23:37.9,7.006,dutch,70.093
44,HAM,9,56,47,01:41.6,101.59,1.927,0.62,0.041,99.043,99.663,5.924,1,C3,MEDIUM,12,21.42857143,FALSE,0 days 01:16:12.062000,Mercedes,1,17:13.8,LEAD,LEAD!,us,93.119
3,RIC,10,71,61,01:25.8,85.806,2.501,0.62,0.041,82.685,83.305,5.922,2,C2,HARD,9,12.67605634,TRUE,0 days 01:17:30.269000,McLaren,1,18:31.7,18:31.1,0.528,mexico,76.763
4,NOR,17,56,39,01:42.0,102.021,1.599,0.62,0.041,99.802,100.422,5.922,2,C2,HARD,,0,TRUE,0 days 01:30:33.576000,McLaren,1,31:35.3,31:31.8,3.504,us,93.88
3,RIC,38,56,18,01:41.1,101.088,0.738,0.62,0.041,99.73,100.35,5.922,3,C2,HARD,8,14.28571429,TRUE,0 days 02:06:32.642000,McLaren,1,07:34.4,07:15.9,18.479,us,93.808
11,PER,47,56,9,01:40.0,100.044,0.369,0.62,0.041,99.055,99.675,5.921,3,C2,HARD,,0,TRUE,0 days 02:21:09.234000,Red Bull,1,22:11.0,21:45.9,25.076,us,93.134
18,STR,6,53,47,01:40.6,100.586,1.927,0.62,0.041,98.039,98.659,5.917,1,C2,HARD,6,11.32075472,TRUE,42:09.5,Aston Martin,1,12:09.5,12:08.8,0.658,france,92.122
4,NOR,22,56,34,01:41.8,101.811,1.394,0.62,0.041,99.797,100.417,5.917,2,C2,HARD,,0,TRUE,0 days 01:39:02.777000,McLaren,1,40:04.5,40:00.2,4.297,us,93.88
33,VER,36,56,20,01:40.3,100.266,0.82,0.62,0.041,98.826,99.446,5.916,3,C2,HARD,7,12.5,TRUE,0 days 02:02:20.792000,Red Bull,1,03:22.5,03:08.9,13.652,us,92.91
18,STR,52,53,1,01:38.7,98.698,0.041,0.62,0.041,98.037,98.657,5.915,2,C3,MEDIUM,18,33.96226415,TRUE,0 days 01:59:06.446000,Aston Martin,1,29:06.5,28:57.2,9.294,france,92.122
10,GAS,69,72,3,01:16.1,76.135,0.123,0.62,0.041,75.392,76.012,5.914,2,C2,MEDIUM,45,62.5,TRUE,0 days 02:28:37.983000,AlphaTauri,1,29:38.0,29:13.6,24.425,dutch,69.478
16,LEC,16,53,37,01:39.0,99.038,1.517,0.62,0.041,96.901,97.521,5.914,2,C2,HARD,2,3.773584906,TRUE,59:12.6,Ferrari,1,29:12.6,29:07.1,5.484,france,90.987
22,TSU,2,66,64,01:27.7,87.714,2.624,0.62,0.041,84.47,85.09,5.914,1,C3,SOFT,2,3.03030303,TRUE,34:56.8,AlphaTauri,1,04:56.8,04:56.3,0.456,spain,78.556
4,NOR,61,71,10,01:24.4,84.415,0.41,0.62,0.041,83.385,84.005,5.912,2,C2,HARD,17,23.94366197,TRUE,0 days 02:27:35.419000,McLaren,1,28:36.8,28:34.2,2.626,mexico,77.473
99,GIO,37,53,16,01:39.0,98.999,0.656,0.62,0.041,97.723,98.343,5.91,2,C3,MEDIUM,9,16.98113208,TRUE,0 days 01:34:36.607000,Alfa Romeo,1,04:36.6,04:33.3,3.272,france,91.813
11,PER,30,53,23,01:37.9,97.917,0.943,0.62,0.041,96.354,96.974,5.909,2,C2,HARD,6,11.32075472,TRUE,0 days 01:21:55.980000,Red Bull,1,51:56.0,51:41.8,14.218,france,90.445
44,HAM,26,56,30,01:40.9,100.878,1.23,0.62,0.041,99.028,99.648,5.909,2,C2,HARD,13,23.21428571,TRUE,0 days 01:45:09.165000,Mercedes,1,46:10.9,46:07.5,3.409,us,93.119
99,GIO,29,66,37,01:26.4,86.4,1.517,0.62,0.041,84.263,84.883,5.907,2,C2,MEDIUM,24,36.36363636,FALSE,0 days 01:15:01.958000,Alfa Romeo,1,45:02.0,45:00.0,2.005,spain,78.356
47,MSC,8,53,45,01:41.3,101.31,1.845,0.62,0.041,98.845,99.465,5.903,1,C3,MEDIUM,8,15.09433962,TRUE,45:44.5,Haas F1 Team,1,15:44.6,15:39.1,5.497,france,92.942
77,BOT,50,56,6,01:40.2,100.244,0.246,0.62,0.041,99.378,99.998,5.903,3,C2,HARD,,0,TRUE,0 days 02:26:46.720000,Mercedes,1,27:48.5,27:47.0,1.448,us,93.475
31,OCO,69,72,3,01:16.6,76.564,0.123,0.62,0.041,75.821,76.441,5.902,2,C2,MEDIUM,38,52.77777778,TRUE,0 days 02:29:13.421000,Alpine F1 Team,1,30:13.4,30:12.0,1.413,dutch,69.919
31,OCO,31,56,25,01:39.3,99.268,1.025,0.62,0.041,97.623,98.243,5.899,2,C3,MEDIUM,18,32.14285714,TRUE,0 days 01:28:52.156000,Alpine F1 Team,1,58:52.2,58:45.9,6.271,bahrain,91.724
31,OCO,34,72,38,01:18.0,77.995,1.558,0.62,0.041,75.817,76.437,5.898,2,C2,MEDIUM,3,4.166666667,TRUE,0 days 01:45:02.207000,Alpine F1 Team,1,46:02.2,45:55.9,6.33,dutch,69.919
6,LAT,2,66,64,01:28.4,88.361,2.624,0.62,0.041,85.117,85.737,5.898,1,C3,SOFT,2,3.03030303,TRUE,34:57.4,Williams,1,04:57.4,04:56.8,0.648,spain,79.219
