DriverNumber,stint,LapNumber,Compound,Seconds,avg_Adj_LapTime_td,Adj_FB_TD,diff,race
3,2,42,HARD,75.164,69.710143979,68.9618484,0.748295579000015,monaco
3,2,43,HARD,74.578,69.710143979,68.38462361,1.325520369,monaco
3,2,56,HARD,75.518,69.710143979,69.43870133,0.271442649000008,monaco
3,2,57,HARD,75.268,69.710143979,69.19747654,0.512667439000012,monaco
3,2,59,HARD,75.633,69.710143979,69.58002696,0.130117019000011,monaco
3,2,60,HARD,76.352,69.710143979,70.30780217,-0.597658190999994,monaco
3,2,62,HARD,75.432,69.710143979,69.40535259,0.304791389000002,monaco
3,2,63,HARD,75.246,69.710143979,69.2281278,0.482016179000013,monaco
3,2,64,HARD,75.799,69.710143979,69.78990301,-0.0797590309999947,monaco
3,3,37,MEDIUM,82.929,78.650741498,77.91639811,0.734343387999999,portugal
3,3,38,MEDIUM,82.64,78.650741498,77.70386981,0.946871688000002,portugal
3,3,39,MEDIUM,82.938,78.650741498,78.0783415,0.572399998000009,portugal
3,3,40,MEDIUM,82.828,78.650741498,78.04481319,0.605928308000003,portugal
3,4,65,HARD,82.524,77.17564298,77.0361849,0.139458079999997,portugal
3,4,66,HARD,82.8,77.17564298,77.31510106,-0.139458080000011,portugal
3,1,18,SOFT,84.588,77.2360846657143,77.25407405,-0.0179893842857126,spain
3,1,19,SOFT,84.479,77.2360846657143,77.14574426,0.0903404057142865,spain
3,1,20,SOFT,84.436,77.2360846657143,77.10341446,0.132670205714291,spain
3,1,21,SOFT,84.643,77.2360846657143,77.31108467,-0.0750000042857124,spain
3,1,22,SOFT,84.769,77.2360846657143,77.43775487,-0.201670204285719,spain
3,1,23,SOFT,84.514,77.2360846657143,77.18342507,0.0526595957142888,spain
3,1,24,SOFT,84.547,77.2360846657143,77.21709528,0.018989385714292,spain
3,2,30,MEDIUM,83.545,76.88344741,77.11030403,-0.226856620000007,spain
3,2,31,MEDIUM,83.047,76.88344741,76.68877572,0.194671689999993,spain
3,2,32,MEDIUM,83.14,76.88344741,76.85824741,0.0251999999999839,spain
3,2,33,MEDIUM,83.049,76.88344741,76.8437191,0.0397283099999868,spain
3,2,34,MEDIUM,83.045,76.88344741,76.91619079,-0.0327433800000136,spain
3,2,17,HARD,102.136,95.5716721066667,95.73488997,-0.16321786333333,us
3,2,18,HARD,102.082,95.5716721066667,95.67700544,-0.105333333333334,us
3,2,19,HARD,101.712,95.5716721066667,95.30312091,0.268551196666664,us
4,1,8,SOFT,71.203,64.2883565776923,64.20459065,0.0837659276923119,austria
4,1,9,SOFT,71.146,64.2883565776923,64.17045655,0.117900027692315,austria
4,1,10,SOFT,72.782,64.2883565776923,65.82932244,-1.54096586230769,austria
4,1,17,SOFT,70.832,64.2883565776923,64.0393837,0.24897287769231,austria
4,1,18,SOFT,70.917,64.2883565776923,64.1472496,0.141106977692317,austria
4,1,19,SOFT,70.733,64.2883565776923,63.98611549,0.302241087692309,austria
4,1,20,SOFT,70.914,64.2883565776923,64.18998139,0.0983751876923122,austria
4,1,21,SOFT,70.858,64.2883565776923,64.15684728,0.131509297692318,austria
4,1,22,SOFT,70.724,64.2883565776923,64.04571318,0.242643397692305,austria
4,1,23,SOFT,70.789,64.2883565776923,64.13357907,0.154777507692316,austria
4,1,24,SOFT,70.826,64.2883565776923,64.19344497,0.0949116076923104,austria
