code,circuit,gp,raceid,position,tm,ms,lap,box,accumulated
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.343,58343,67,,4485990
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:00.362,60362,68,,4544333
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:57.963,57963,69,,4604695
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.283,58283,70,,4662658
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.849,58849,71,,4720941
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.304,58304,72,,4779790
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.277,58277,73,,4838094
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.262,58262,74,,4896371
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.917,58917,75,,4954633
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:59.093,59093,76,,5013550
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.545,58545,77,,5072643
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.415,58415,78,,5131188
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.193,58193,79,,5189603
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.018,58018,80,,5247796
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,0:58.395,58395,81,,5305814
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.012,58012,82,,5364209
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.944,57944,83,,5422221
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.288,58288,84,,5480165
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.761,57761,85,,5538453
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.727,57727,86,,5596214
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:57.941,57941,87,,5653941
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:15.104,75104,1,,
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:10.362,70362,2,,75104
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.579,69579,3,,145466
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.853,69853,4,,215045
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.412,69412,5,,284898
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.525,69525,6,,354310
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.808,69808,7,,423835
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.649,69649,8,,493643
